"interval","symbol","expected","actual","missing","ratio","first_ts","last_ts"
"120m","1000BONKUSDT","4380","0","4380","0","1724234399","1755763199"
"120m","1000PEPEUSDT","4380","0","4380","0","1724234399","1755763199"
"120m","1000SHIBUSDT","4380","0","4380","0","1724234399","1755763199"
"120m","AAVEUSDT","4380","0","4380","0","1724234399","1755763199"
"120m","ADAUSDT","4380","0","4380","0","1724234399","1755763199"
"120m","AIOTUSDT","4380","0","4380","0","1724234399","1755763199"
"120m","API3USDT","4380","0","4380","0","1724234399","1755763199"
"120m","ARBUSDT","4380","0","4380","0","1724234399","1755763199"
"120m","AVAXUSDT","4380","0","4380","0","1724234399","1755763199"
"120m","BCHUSDT","4380","0","4380","0","1724234399","1755763199"
"120m","BIOUSDT","4380","0","4380","0","1724234399","1755763199"
"120m","BNBUSDT","4380","0","4380","0","1724234399","1755763199"
"120m","BTCUSDT","4380","0","4380","0","1724234399","1755763199"
"120m","CFXUSDT","4380","0","4380","0","1724234399","1755763199"
"120m","CRVUSDT","4380","0","4380","0","1724234399","1755763199"
"120m","DOGEUSDT","4380","0","4380","0","1724234399","1755763199"
"120m","DOTUSDT","4380","0","4380","0","1724234399","1755763199"
"120m","ENAUSDT","4380","0","4380","0","1724234399","1755763199"
"120m","ETHUSDT","4380","0","4380","0","1724234399","1755763199"
"120m","FARTCOINUSDT","4380","0","4380","0","1724234399","1755763199"
"120m","FILUSDT","4380","0","4380","0","1724234399","1755763199"
"120m","HBARUSDT","4380","0","4380","0","1724234399","1755763199"
"120m","HYPERUSDT","4380","0","4380","0","1724234399","1755763199"
"120m","HYPEUSDT","4380","0","4380","0","1724234399","1755763199"
"120m","INJUSDT","4380","0","4380","0","1724234399","1755763199"
"120m","LDOUSDT","4380","0","4380","0","1724234399","1755763199"
"120m","LINKUSDT","4380","0","4380","0","1724234399","1755763199"
"120m","LTCUSDT","4380","0","4380","0","1724234399","1755763199"
"120m","MEMEUSDT","4380","0","4380","0","1724234399","1755763199"
"120m","MUSDT","4380","0","4380","0","1724234399","1755763199"
"120m","MYXUSDT","4380","0","4380","0","1724234399","1755763199"
"120m","NEARUSDT","4380","0","4380","0","1724234399","1755763199"
"120m","OGNUSDT","4380","0","4380","0","1724234399","1755763199"
"120m","OPUSDT","4380","0","4380","0","1724234399","1755763199"
"120m","PENGUUSDT","4380","0","4380","0","1724234399","1755763199"
"120m","PROVEUSDT","4380","0","4380","0","1724234399","1755763199"
"120m","PUMPUSDT","4380","0","4380","0","1724234399","1755763199"
"120m","SAPIENUSDT","4380","0","4380","0","1724234399","1755763199"
"120m","SEIUSDT","4380","0","4380","0","1724234399","1755763199"
"120m","SOLUSDT","4380","0","4380","0","1724234399","1755763199"
"120m","SUIUSDT","4380","0","4380","0","1724234399","1755763199"
"120m","TRUMPUSDT","4380","0","4380","0","1724234399","1755763199"
"120m","TRXUSDT","4380","0","4380","0","1724234399","1755763199"
"120m","UMAUSDT","4380","0","4380","0","1724234399","1755763199"
"120m","UNIUSDT","4380","0","4380","0","1724234399","1755763199"
"120m","WIFUSDT","4380","0","4380","0","1724234399","1755763199"
"120m","WLDUSDT","4380","0","4380","0","1724234399","1755763199"
"120m","XLMUSDT","4380","0","4380","0","1724234399","1755763199"
"120m","XNYUSDT","4380","0","4380","0","1724234399","1755763199"
"120m","XRPUSDT","4380","0","4380","0","1724234399","1755763199"
"15m","1000BONKUSDT","35040","0","35040","0","1724230799","1755765899"
"15m","1000PEPEUSDT","35040","0","35040","0","1724230799","1755765899"
"15m","1000SHIBUSDT","35040","0","35040","0","1724230799","1755765899"
"15m","AAVEUSDT","35040","0","35040","0","1724230799","1755765899"
"15m","ADAUSDT","35040","0","35040","0","1724230799","1755765899"
"15m","AIOTUSDT","35040","0","35040","0","1724230799","1755765899"
"15m","API3USDT","35040","0","35040","0","1724230799","1755765899"
"15m","ARBUSDT","35040","0","35040","0","1724230799","1755765899"
"15m","AVAXUSDT","35040","0","35040","0","1724230799","1755765899"
"15m","BCHUSDT","35040","0","35040","0","1724230799","1755765899"
"15m","BIOUSDT","35040","0","35040","0","1724230799","1755765899"
"15m","BNBUSDT","35040","0","35040","0","1724230799","1755765899"
"15m","BTCUSDT","35040","0","35040","0","1724230799","1755765899"
"15m","CFXUSDT","35040","0","35040","0","1724230799","1755765899"
"15m","CRVUSDT","35040","0","35040","0","1724230799","1755765899"
"15m","DOGEUSDT","35040","0","35040","0","1724230799","1755765899"
"15m","DOTUSDT","35040","0","35040","0","1724230799","1755765899"
"15m","ENAUSDT","35040","0","35040","0","1724230799","1755765899"
"15m","ETHUSDT","35040","0","35040","0","1724230799","1755765899"
"15m","FARTCOINUSDT","35040","0","35040","0","1724230799","1755765899"
"15m","FILUSDT","35040","0","35040","0","1724230799","1755765899"
"15m","HBARUSDT","35040","0","35040","0","1724230799","1755765899"
"15m","HYPERUSDT","35040","0","35040","0","1724230799","1755765899"
"15m","HYPEUSDT","35040","0","35040","0","1724230799","1755765899"
"15m","INJUSDT","35040","0","35040","0","1724230799","1755765899"
"15m","LDOUSDT","35040","0","35040","0","1724230799","1755765899"
"15m","LINKUSDT","35040","0","35040","0","1724230799","1755765899"
"15m","LTCUSDT","35040","0","35040","0","1724230799","1755765899"
"15m","MEMEUSDT","35040","0","35040","0","1724230799","1755765899"
"15m","MUSDT","35040","0","35040","0","1724230799","1755765899"
"15m","MYXUSDT","35040","0","35040","0","1724230799","1755765899"
"15m","NEARUSDT","35040","0","35040","0","1724230799","1755765899"
"15m","OGNUSDT","35040","0","35040","0","1724230799","1755765899"
"15m","OPUSDT","35040","0","35040","0","1724230799","1755765899"
"15m","PENGUUSDT","35040","0","35040","0","1724230799","1755765899"
"15m","PROVEUSDT","35040","0","35040","0","1724230799","1755765899"
"15m","PUMPUSDT","35040","0","35040","0","1724230799","1755765899"
"15m","SAPIENUSDT","35040","0","35040","0","1724230799","1755765899"
"15m","SEIUSDT","35040","0","35040","0","1724230799","1755765899"
"15m","SOLUSDT","35040","0","35040","0","1724230799","1755765899"
"15m","SUIUSDT","35040","0","35040","0","1724230799","1755765899"
"15m","TRUMPUSDT","35040","0","35040","0","1724230799","1755765899"
"15m","TRXUSDT","35040","0","35040","0","1724230799","1755765899"
"15m","UMAUSDT","35040","0","35040","0","1724230799","1755765899"
"15m","UNIUSDT","35040","0","35040","0","1724230799","1755765899"
"15m","WIFUSDT","35040","0","35040","0","1724230799","1755765899"
"15m","WLDUSDT","35040","0","35040","0","1724230799","1755765899"
"15m","XLMUSDT","35040","0","35040","0","1724230799","1755765899"
"15m","XNYUSDT","35040","0","35040","0","1724230799","1755765899"
"15m","XRPUSDT","35040","0","35040","0","1724230799","1755765899"
"30m","1000BONKUSDT","17520","0","17520","0","1724230799","1755764999"
"30m","1000PEPEUSDT","17520","0","17520","0","1724230799","1755764999"
"30m","1000SHIBUSDT","17520","0","17520","0","1724230799","1755764999"
"30m","AAVEUSDT","17520","0","17520","0","1724230799","1755764999"
"30m","ADAUSDT","17520","0","17520","0","1724230799","1755764999"
"30m","AIOTUSDT","17520","0","17520","0","1724230799","1755764999"
"30m","API3USDT","17520","0","17520","0","1724230799","1755764999"
"30m","ARBUSDT","17520","0","17520","0","1724230799","1755764999"
"30m","AVAXUSDT","17520","0","17520","0","1724230799","1755764999"
"30m","BCHUSDT","17520","0","17520","0","1724230799","1755764999"
"30m","BIOUSDT","17520","0","17520","0","1724230799","1755764999"
"30m","BNBUSDT","17520","0","17520","0","1724230799","1755764999"
"30m","BTCUSDT","17520","0","17520","0","1724230799","1755764999"
"30m","CFXUSDT","17520","0","17520","0","1724230799","1755764999"
"30m","CRVUSDT","17520","0","17520","0","1724230799","1755764999"
"30m","DOGEUSDT","17520","0","17520","0","1724230799","1755764999"
"30m","DOTUSDT","17520","0","17520","0","1724230799","1755764999"
"30m","ENAUSDT","17520","0","17520","0","1724230799","1755764999"
"30m","ETHUSDT","17520","0","17520","0","1724230799","1755764999"
"30m","FARTCOINUSDT","17520","0","17520","0","1724230799","1755764999"
"30m","FILUSDT","17520","0","17520","0","1724230799","1755764999"
"30m","HBARUSDT","17520","0","17520","0","1724230799","1755764999"
"30m","HYPERUSDT","17520","0","17520","0","1724230799","1755764999"
