"ts","symbol","open","high","low","close","volume","quote_volume","trade_count","taker_buy_base","taker_buy_quote"
"1755651600","1000BONKUSDT","0.021447","0.021643","0.021437","0.021529","257334166","5547631.017574","27794","126448857","2725018.371252"
"1755655200","1000BONKUSDT","0.021529","0.021643","0.021239","0.021599","466991192","10010887.18068","40518","213065924","4566970.748869"
"1755658800","1000BONKUSDT","0.021601","0.021711","0.021534","0.021594","223162631","4824938.144557","26113","101954407","2204430.361298"
"1755662400","1000BONKUSDT","0.021593","0.021875","0.021566","0.021646","239667223","5202434.210223","24269","132171586","2868676.773237"
"1755666000","1000BONKUSDT","0.021646","0.021818","0.021635","0.021694","170192049","3700366.042103","18551","90337460","1964195.793492"
"1755669600","1000BONKUSDT","0.021695","0.021701","0.02157","0.021684","164117607","3549662.991213","17817","70875808","1533324.398522"
"1755673200","1000BONKUSDT","0.021685","0.021711","0.021504","0.021558","172590787","3723816.701006","18232","78090046","1684895.189315"
"1755676800","1000BONKUSDT","0.021558","0.021703","0.021456","0.021478","205717229","4442234.674786","20414","102973181","2223419.297718"
"1755680400","1000BONKUSDT","0.021478","0.021786","0.021436","0.021764","267481293","5794127.333248","26200","134452620","2912969.251411"
"1755684000","1000BONKUSDT","0.021763","0.021836","0.021675","0.0217","227557350","4948234.142141","23892","123287075","2680746.918699"
"1755687600","1000BONKUSDT","0.0217","0.021828","0.021653","0.021749","142647363","3099394.699716","17280","76185921","1655196.912561"
"1755691200","1000BONKUSDT","0.021749","0.021782","0.021234","0.021544","475247550","10188026.002475","35893","216587077","4642381.146858"
"1755694800","1000BONKUSDT","0.021544","0.021787","0.021415","0.02157","449218126","9696753.854934","38070","222392304","4799667.292749"
"1755698400","1000BONKUSDT","0.02157","0.021592","0.020949","0.021048","1096918050","23275346.484352","72304","504054150","10701596.523411"
"1755702000","1000BONKUSDT","0.021049","0.021633","0.020871","0.021446","898130791","19100114.203543","67790","390940433","8313699.578976"
"1755705600","1000BONKUSDT","0.021446","0.021949","0.021415","0.021658","700563472","15241731.572827","54860","329304504","7165286.798419"
"1755709200","1000BONKUSDT","0.021657","0.022075","0.021657","0.021879","426986074","9355758.992824","38463","226719398","4967795.169964"
"1755712800","1000BONKUSDT","0.021877","0.022226","0.021868","0.022125","378473622","8340556.840403","36732","223485343","4925722.774925"
"1755716400","1000BONKUSDT","0.022125","0.022159","0.021656","0.021894","452093423","9875580.73544","39917","224556131","4904635.41026"
"1755720000","1000BONKUSDT","0.021894","0.022384","0.021878","0.022359","420658628","9345128.348862","37913","212909930","4729378.917685"
"1755723600","1000BONKUSDT","0.022359","0.022381","0.022201","0.022262","254946565","5685761.582928","25022","136406348","3043018.757211"
"1755727200","1000BONKUSDT","0.022262","0.02245","0.022119","0.022328","348855236","7766935.95754","30519","178030827","3965220.458603"
"1755730800","1000BONKUSDT","0.022329","0.022438","0.022256","0.02237","204634455","4574615.666403","26719","115447985","2581572.116202"
"1755734400","1000BONKUSDT","0.022369","0.022383","0.022219","0.022277","144906142","3229482.387102","18795","67945122","1514369.704789"
