"ts","symbol","open","high","low","close","volume","quote_volume","trade_count","taker_buy_base","taker_buy_quote"
"1755651600","1000PEPEUSDT","0.010199","0.0103007","0.0101939","0.0102628","2555672124","26217128.8896851","88031","1248792305","12809088.0122835"
"1755655200","1000PEPEUSDT","0.0102628","0.0103069","0.0101252","0.010281","3866471417","39491490.1643103","109222","1875859561","19167920.7302962"
"1755658800","1000PEPEUSDT","0.0102808","0.010343","0.0102534","0.0103354","2087703007","21531713.3135686","74011","1140415830","11761092.2323379"
"1755662400","1000PEPEUSDT","0.0103355","0.0104214","0.0103129","0.010331","1793070952","18581217.5600783","61149","931136292","9650492.9582417"
"1755666000","1000PEPEUSDT","0.010331","0.0104061","0.0103302","0.0103837","1535322440","15937658.4912222","48070","782253130","8119710.2955974"
"1755669600","1000PEPEUSDT","0.0103836","0.0104058","0.0103328","0.0104029","1259401317","13054606.5082573","42898","581308878","6026109.5194042"
"1755673200","1000PEPEUSDT","0.010403","0.010413","0.0103269","0.0103659","1363769312","14136452.7409373","50215","672504807","6971824.3371922"
"1755676800","1000PEPEUSDT","0.0103659","0.0104265","0.0103304","0.0103395","1574147525","16335127.1444361","50393","762759554","7916801.3972706"
"1755680400","1000PEPEUSDT","0.0103396","0.0104429","0.0103252","0.0104382","2373700294","24680563.8759465","63063","1258840078","13089475.6360079"
"1755684000","1000PEPEUSDT","0.0104381","0.0104416","0.0103814","0.0103943","1342112305","13968162.9904637","47985","658444325","6853442.2635776"
"1755687600","1000PEPEUSDT","0.0103947","0.010431","0.0103816","0.0104023","865301590","9002113.039252","39962","409227366","4257449.8593672"
"1755691200","1000PEPEUSDT","0.0104024","0.0104169","0.0102282","0.0103554","3622892937","37379490.9579279","88115","1688126594","17422287.8174549"
"1755694800","1000PEPEUSDT","0.0103555","0.0104428","0.0103136","0.0103576","2902596594","30129696.2916845","91188","1410559594","14643378.7945025"
"1755698400","1000PEPEUSDT","0.010357","0.0103584","0.0100913","0.0101259","7347426083","75035293.6785644","176008","3280126825","33517380.1792764"
"1755702000","1000PEPEUSDT","0.0101258","0.0103733","0.0100196","0.0103091","8199432201","83434820.5707727","206485","3828929112","38969862.6674112"
"1755705600","1000PEPEUSDT","0.0103092","0.0105268","0.0102947","0.010399","6233684829","65156119.8043845","154352","3066801655","32053374.4215656"
"1755709200","1000PEPEUSDT","0.0103989","0.0105819","0.010396","0.0104995","4024132071","42299711.8336059","103197","2115981867","22239165.5869649"
"1755712800","1000PEPEUSDT","0.0104995","0.0106368","0.0104839","0.0106053","2998236500","31653096.1432934","89600","1787342383","18873590.9419663"
"1755716400","1000PEPEUSDT","0.0106053","0.0106264","0.0104227","0.0105089","4050842959","42499033.6678943","101668","1951049918","20469949.8709494"
"1755720000","1000PEPEUSDT","0.010509","0.010711","0.0105012","0.0107016","2989992122","31792938.6882469","89096","1621609379","17246835.7388812"
"1755723600","1000PEPEUSDT","0.0107016","0.01072","0.0106556","0.0106795","1525075260","16300038.2431692","63992","786198988","8404376.8075106"
"1755727200","1000PEPEUSDT","0.0106789","0.0107049","0.01061","0.0106652","1520500355","16207507.0419491","48317","736785848","7856466.94186"
"1755730800","1000PEPEUSDT","0.0106652","0.0107217","0.0106412","0.0106963","1452035929","15509520.7609502","52498","768539280","8209171.8723575"
"1755734400","1000PEPEUSDT","0.0106962","0.0106988","0.0106463","0.0106659","1162619114","12404421.2588549","38061","613092791","6541643.2674074"
