"ts","symbol","open","high","low","close","volume","quote_volume","trade_count","taker_buy_base","taker_buy_quote"
"1755651600","1000SHIBUSDT","0.012089","0.01221","0.012088","0.012166","271144731","3296461.62995","14596","132804425","1614392.763845"
"1755655200","1000SHIBUSDT","0.012165","0.012208","0.012036","0.012167","509393340","6176589.77929","16891","232438254","2818444.33524"
"1755658800","1000SHIBUSDT","0.012168","0.012223","0.012147","0.012182","459696900","5605162.427739","12846","257636291","3141094.589041"
"1755662400","1000SHIBUSDT","0.012182","0.012281","0.012163","0.012214","234668008","2867193.579231","11049","120900011","1477275.209356"
"1755666000","1000SHIBUSDT","0.012214","0.012286","0.012212","0.012259","234328206","2873027.654144","9529","117030544","1435001.847915"
"1755669600","1000SHIBUSDT","0.012259","0.012286","0.01221","0.012284","193077338","2364548.028941","8707","89488551","1096313.968501"
"1755673200","1000SHIBUSDT","0.012284","0.012291","0.012211","0.012249","247815527","3036674.935881","10614","104839086","1284791.780399"
"1755676800","1000SHIBUSDT","0.012249","0.012294","0.012216","0.012221","235224962","2882892.410531","10749","106901601","1310300.906226"
"1755680400","1000SHIBUSDT","0.012222","0.01235","0.012208","0.012346","373325159","4583509.178438","15333","205298207","2520897.713238"
"1755684000","1000SHIBUSDT","0.012347","0.012347","0.012264","0.012283","289085251","3558097.911294","14258","149327270","1838211.509716"
"1755687600","1000SHIBUSDT","0.012284","0.012363","0.012273","0.01234","269210871","3317728.660757","11648","159237743","1962357.687719"
"1755691200","1000SHIBUSDT","0.012341","0.012354","0.012164","0.012303","448135792","5490001.891596","16183","209107323","2561172.169626"
"1755694800","1000SHIBUSDT","0.012304","0.01239","0.012247","0.012292","409859893","5047866.542132","18478","201435096","2481930.97464"
"1755698400","1000SHIBUSDT","0.012293","0.012299","0.012058","0.0121","847092272","10308241.376901","27426","415286474","5053764.342537"
"1755702000","1000SHIBUSDT","0.0121","0.012337","0.012022","0.012273","930030395","11325952.889946","29216","484484689","5903539.060485"
"1755705600","1000SHIBUSDT","0.012274","0.012465","0.012256","0.012353","725759066","8999716.306147","23266","344474550","4271999.927066"
"1755709200","1000SHIBUSDT","0.012353","0.012514","0.012351","0.012449","443343115","5519866.582722","16507","249086990","3101054.796168"
"1755712800","1000SHIBUSDT","0.01245","0.01257","0.01244","0.01253","422237911","5277037.34712","15037","239400730","2992850.943209"
"1755716400","1000SHIBUSDT","0.012531","0.012544","0.012358","0.012448","454322392","5645959.618977","16776","226840709","2818224.125902"
"1755720000","1000SHIBUSDT","0.012449","0.012623","0.012443","0.012614","403380252","5064131.820626","17207","226892269","2848766.012433"
"1755723600","1000SHIBUSDT","0.012613","0.012628","0.01257","0.012591","319894736","4029733.039908","13984","150434330","1895367.193665"
"1755727200","1000SHIBUSDT","0.012591","0.012615","0.01253","0.01258","244970954","3081452.219691","11823","119272168","1499862.510178"
"1755730800","1000SHIBUSDT","0.01258","0.012633","0.012557","0.012619","322908922","4066150.137987","12888","153523885","1934256.269694"
"1755734400","1000SHIBUSDT","0.012619","0.012619","0.012554","0.012575","162779693","2048258.559605","8492","70976069","893132.601285"
