"ts","symbol","open","high","low","close","volume","quote_volume","trade_count","taker_buy_base","taker_buy_quote"
"1755651600","AAVEUSDT","277.23","280.7","277.2","280.16","21676.2","6049733.198","21326","11811.7","3296921.854"
"1755655200","AAVEUSDT","280.16","281.29","276.65","280.31","28791.6","8032438.989","28604","15490.4","4319602.644"
"1755658800","AAVEUSDT","280.29","282.39","279.77","282.01","22567","6353159.614","23059","12019.6","3383863.625"
"1755662400","AAVEUSDT","282.01","285.02","281.85","283.29","27723.2","7855159.065","24603","17445.1","4943111.368"
"1755666000","AAVEUSDT","283.29","285.55","283.25","284.93","28148.2","8015825.99","22756","15243.6","4340574.204"
"1755669600","AAVEUSDT","284.94","285.36","283.81","285.26","14696.2","4183516.683","14290","7792.2","2219199.581"
"1755673200","AAVEUSDT","285.27","287.26","284.8","286.38","23183.2","6629245.919","18656","11868.6","3393525.153"
"1755676800","AAVEUSDT","286.35","288.71","286.35","287.55","30174.9","8682672.63","21611","14061.9","4045499.66"
"1755680400","AAVEUSDT","287.55","292.18","287.25","292.1","43551","12635624.602","28997","23393.3","6787722.238"
"1755684000","AAVEUSDT","292.11","292.11","288.3","289.09","34199.2","9923876.561","28026","16608.4","4817065.78"
"1755687600","AAVEUSDT","289.08","291.82","288.52","291.17","17557.5","5093943.5","20384","9851","2859034.243"
"1755691200","AAVEUSDT","291.17","291.7","285.82","289.08","37525","10817136.746","30462","15855.1","4572215.815"
"1755694800","AAVEUSDT","289.07","291.79","286.11","287.58","36854.3","10619406.139","35042","18538","5342648.245"
"1755698400","AAVEUSDT","287.58","288.59","283.38","284.24","54479.2","15561236.912","47615","25760.8","7359234.641"
"1755702000","AAVEUSDT","284.2","290.95","282.63","288.79","79622.9","22856605.965","63298","42808.6","12289468.38"
"1755705600","AAVEUSDT","288.78","294.54","288.31","289.74","81702.1","23888064.904","68728","38365.4","11215440.525"
"1755709200","AAVEUSDT","289.71","294","289.56","291.23","47483.2","13874722.277","38463","25505.6","7451378.726"
"1755712800","AAVEUSDT","291.23","296.07","290.7","294.96","62574.2","18352672.993","54940","29783.9","8736443.811"
"1755716400","AAVEUSDT","294.95","295.08","290.01","292.64","39761.8","11618198.069","37133","18570.7","5427794.636"
"1755720000","AAVEUSDT","292.63","297.81","292.32","297.25","37911.3","11219294.235","31009","19382.2","5733574.339"
"1755723600","AAVEUSDT","297.25","299.27","296.92","298.11","27373.2","8154815.996","24874","13202.8","3933811.124"
"1755727200","AAVEUSDT","298.11","298.83","296.42","297.06","24541.2","7306554.161","20034","9683","2883435.471"
"1755730800","AAVEUSDT","297.05","299.26","296.5","298.9","14608.3","4350092.31","17330","7585.6","2259509.848"
"1755734400","AAVEUSDT","298.9","299.45","298.07","299.2","15417.4","4606823.405","16261","7539.2","2253014.581"
