"ts","symbol","open","high","low","close","volume","quote_volume","trade_count","taker_buy_base","taker_buy_quote"
"1755651600","ADAUSDT","0.8459","0.8528","0.8446","0.8486","48732809","41369850.3761","70537","25435237","21589554.3845"
"1755655200","ADAUSDT","0.8487","0.8556","0.8424","0.8509","52769375","44807415.3894","85353","25577745","21728081.8084"
"1755658800","ADAUSDT","0.8508","0.8561","0.847","0.8482","45979110","39148892.341","64003","23207321","19762959.0446"
"1755662400","ADAUSDT","0.8482","0.855","0.8452","0.848","36047595","30608536.2697","65641","19281737","16372726.4158"
"1755666000","ADAUSDT","0.8479","0.8553","0.8468","0.8531","37886467","32251582.6262","71323","20993096","17868334.8297"
"1755669600","ADAUSDT","0.8531","0.8537","0.8456","0.8516","26299905","22341034.1892","50369","13249471","11256499.1145"
"1755673200","ADAUSDT","0.8516","0.8527","0.8455","0.849","27984517","23764200.5697","46399","13699249","11633650.9581"
"1755676800","ADAUSDT","0.849","0.8552","0.846","0.8472","38348620","32632022.6922","54303","19737320","16801734.3887"
"1755680400","ADAUSDT","0.8473","0.8637","0.846","0.8624","75264010","64453666.9127","85198","38551912","33019253.228"
"1755684000","ADAUSDT","0.8624","0.8631","0.8491","0.8506","71590863","61300215.7647","94162","34730526","29745680.4364"
"1755687600","ADAUSDT","0.8507","0.8594","0.85","0.8556","40941547","34979206.1595","60837","18851470","16107905.6658"
"1755691200","ADAUSDT","0.8557","0.8587","0.8364","0.8487","98772164","83451860.153","100697","40171492","33951093.3497"
"1755694800","ADAUSDT","0.8488","0.8631","0.8487","0.8599","91737741","78695661.7509","113548","44240266","37958729.6209"
"1755698400","ADAUSDT","0.86","0.8615","0.8427","0.8454","100407023","85478014.9803","132862","49660601","42280834.3533"
"1755702000","ADAUSDT","0.8454","0.8648","0.8382","0.859","114739730","97736338.2918","149394","55231575","47056232.4503"
"1755705600","ADAUSDT","0.859","0.8842","0.8579","0.8709","145235368","127134115.2562","166426","67601426","59149842.47"
"1755709200","ADAUSDT","0.8708","0.8833","0.8708","0.8752","57937203","50817974.1731","87504","27545275","24163261.9762"
"1755712800","ADAUSDT","0.8752","0.887","0.8742","0.8847","39697857","34958266.2666","68362","21502611","18934760.555"
"1755716400","ADAUSDT","0.8846","0.8859","0.8679","0.8708","53797181","47044881.6863","83398","26423814","23111713.8486"
"1755720000","ADAUSDT","0.8708","0.8921","0.8701","0.8905","53358757","47193642.8383","80302","26014967","23007842.4183"
"1755723600","ADAUSDT","0.8905","0.891","0.8806","0.8831","57149781","50631682.3879","60622","28669610","25396838.9694"
"1755727200","ADAUSDT","0.8832","0.8872","0.8773","0.8843","28833593","25435443.14","46218","13879381","12246274.0452"
"1755730800","ADAUSDT","0.8843","0.8882","0.88","0.8858","21558773","19049570.2592","43681","11806856","10434045.7939"
"1755734400","ADAUSDT","0.8857","0.8875","0.8794","0.8805","18638190","16461275.5629","34828","8466644","7480522.2345"
