"ts","symbol","open","high","low","close","volume","quote_volume","trade_count","taker_buy_base","taker_buy_quote"
"1755651600","AIOTUSDT","1.68151","1.7485","1.66296","1.67195","12728826","21690448.71656","201895","6404393","10921444.13149"
"1755655200","AIOTUSDT","1.67152","1.69703","1.46254","1.50286","28874176","44676206.14598","338548","14094483","21806631.08769"
"1755658800","AIOTUSDT","1.50329","1.665","1.49502","1.65512","17098350","26881795.97913","249241","9649186","15186786.23059"
"1755662400","AIOTUSDT","1.65481","1.65888","1.6039","1.634","10981229","17876439.44742","187574","5430160","8843153.08931"
"1755666000","AIOTUSDT","1.63358","1.88851","1.56","1.76885","23423821","39449394.65484","317837","12318939","20810024.99075"
"1755669600","AIOTUSDT","1.76785","1.78398","1.628","1.67217","16636003","28007872.75021","222666","8308885","13987249.30183"
"1755673200","AIOTUSDT","1.6716","1.7464","1.66","1.734","12657510","21584828.03234","182854","6615255","11283703.77959"
"1755676800","AIOTUSDT","1.734","1.7866","1.6616","1.67509","14732224","25425030.7888","193154","6951542","12006908.32999"
"1755680400","AIOTUSDT","1.67453","1.67536","1.5756","1.66669","16647718","27071076.78349","200538","8377938","13626823.19196"
"1755684000","AIOTUSDT","1.66669","1.68421","1.6108","1.62232","7227084","11874703.6415","115614","3330750","5475459.57179"
"1755687600","AIOTUSDT","1.62232","1.66999","1.62107","1.66724","6775342","11167016.39265","110111","3370151","5555157.55939"
"1755691200","AIOTUSDT","1.66752","1.71996","1.6245","1.64818","10622631","17733254.35056","154462","5176800","8648647.84212"
"1755694800","AIOTUSDT","1.64818","1.66449","1.61503","1.61893","7402305","12148478.78066","104019","3865147","6346452.09607"
"1755698400","AIOTUSDT","1.61902","1.6218","1.56003","1.60353","9916498","15795170.60729","128248","4748556","7567143.76727"
"1755702000","AIOTUSDT","1.60324","1.6244","1.51017","1.57286","12074497","18894845.45833","145778","5602969","8774519.60115"
"1755705600","AIOTUSDT","1.57286","1.60969","1.56039","1.58755","6773785","10751485.59318","90961","3414205","5422109.08122"
"1755709200","AIOTUSDT","1.58755","1.65561","1.56437","1.62761","7495011","12080286.846","104354","3787242","6108548.45319"
"1755712800","AIOTUSDT","1.62761","1.65141","1.61814","1.62727","3917719","6400516.23052","64605","1923109","3143329.79544"
"1755716400","AIOTUSDT","1.62751","1.66","1.62124","1.6468","4275875","7004835.28058","74484","2160055","3540258.38002"
"1755720000","AIOTUSDT","1.64696","1.705","1.64415","1.67949","5067965","8486260.64495","79058","2669412","4471558.52936"
"1755723600","AIOTUSDT","1.67949","1.70878","1.6597","1.67331","3074740","5163395.02476","53681","1466232","2463708.59194"
"1755727200","AIOTUSDT","1.67334","1.69524","1.6633","1.68709","2416563","4058819.86565","45129","1131031","1899722.52909"
"1755730800","AIOTUSDT","1.68664","1.70711","1.67249","1.6752","3288639","5549405.79734","47191","1611142","2719555.51743"
"1755734400","AIOTUSDT","1.67534","1.69633","1.66198","1.67082","2596364","4353690.5999","39523","1237852","2075910.38451"
