"ts","symbol","open","high","low","close","volume","quote_volume","trade_count","taker_buy_base","taker_buy_quote"
"1755651600","API3USDT","1.3643","1.3657","1.24","1.2614","46476717.5","59845485.13282","321915","23457014.2","30212186.45974"
"1755655200","API3USDT","1.2613","1.2833","1.2436","1.2785","24821051.1","31255571.93322","198021","12961373.8","16322720.56477"
"1755658800","API3USDT","1.2782","1.2984","1.26","1.2671","16106750.4","20573492.33742","139276","8556859.1","10934055.99697"
"1755662400","API3USDT","1.2669","1.2868","1.2504","1.2819","14013386.8","17736190.56148","116426","7476774.5","9465912.29084"
"1755666000","API3USDT","1.2818","1.442","1.2769","1.3511","66246482.5","89863205.66589","454011","33641887.9","45619384.92211"
"1755669600","API3USDT","1.3511","1.3853","1.3303","1.3821","32282673.1","43974534.50113","206979","16724456.4","22788717.75243"
"1755673200","API3USDT","1.3821","1.4646","1.3544","1.4583","46884397.2","65913114.30434","297563","24327382.7","34208724.28171"
"1755676800","API3USDT","1.4584","1.5676","1.4241","1.5404","76559902.6","114803333.97952","465261","38074333.7","57112896.7516"
"1755680400","API3USDT","1.5404","1.5437","1.405","1.4528","69421767","101503895.90457","431384","34671535.1","50686024.49686"
"1755684000","API3USDT","1.4527","1.4968","1.4423","1.4569","36964734.7","54307696.13542","246207","18210121.8","26759490.59211"
"1755687600","API3USDT","1.4568","1.4612","1.4011","1.4242","32455113.6","46493652.11983","187086","15693063.8","22487074.09109"
"1755691200","API3USDT","1.4241","1.4394","1.3704","1.3803","31714660","44433156.39705","176679","14966242.5","20977960.3172"
"1755694800","API3USDT","1.3801","1.3943","1.3378","1.3491","24321825.6","33176920.73653","140557","11589130","15819292.26572"
"1755698400","API3USDT","1.3488","1.3489","1.3175","1.3257","22510834.4","29953941.13646","112605","11731080.7","15612107.39021"
"1755702000","API3USDT","1.3256","1.3599","1.3248","1.3434","22535294.9","30281254.22357","114123","12309747.6","16540628.76662"
"1755705600","API3USDT","1.3435","1.3979","1.3372","1.3628","22979221.5","31487504.74432","125294","12110482.7","16605507.04983"
"1755709200","API3USDT","1.3628","1.3775","1.343","1.3504","12447425.1","16934859.41753","88957","6077532","8271335.1245"
"1755712800","API3USDT","1.3503","1.3704","1.3361","1.3423","10946797.4","14805402.39473","79600","5483409.1","7419047.45488"
"1755716400","API3USDT","1.3423","1.3569","1.3264","1.354","7673873.3","10306313.06431","61307","3989726.2","5358933.90629"
"1755720000","API3USDT","1.3539","1.3793","1.3534","1.3741","7217607.1","9889401.10402","58553","3968284.7","5437626.33253"
"1755723600","API3USDT","1.3738","1.3901","1.3632","1.3845","7085881.6","9770422.39718","53335","3820334.5","5271394.17011"
"1755727200","API3USDT","1.3844","1.5563","1.3802","1.4761","53409243.2","79083133.71057","339212","26779625.6","39598999.59426"
"1755730800","API3USDT","1.4761","1.4789","1.4285","1.4495","20562574","29926523.56847","170292","10504212.8","15294833.5755"
"1755734400","API3USDT","1.4494","1.4565","1.4294","1.433","8329274","11998407.64567","76725","4251673.4","6125672.28344"
