"ts","symbol","open","high","low","close","volume","quote_volume","trade_count","taker_buy_base","taker_buy_quote"
"1755651600","ARBUSDT","0.4728","0.4786","0.4716","0.4755","33256124.6","15815511.28777","34288","17344689.9","8247868.45378"
"1755655200","ARBUSDT","0.4754","0.4817","0.4713","0.4815","35213774.2","16767715.122","36804","17298539.9","8238594.8726"
"1755658800","ARBUSDT","0.4814","0.487","0.4807","0.4835","32332609.2","15658005.42435","29819","15474774.6","7495088.03328"
"1755662400","ARBUSDT","0.4835","0.4865","0.481","0.4821","20971719","10131775.63776","20815","10520972.5","5083102.6987"
"1755666000","ARBUSDT","0.4821","0.4894","0.4818","0.4867","27625853.4","13431470.39389","24093","14579001.3","7088256.29781"
"1755669600","ARBUSDT","0.4868","0.4877","0.4842","0.4877","24562807.8","11929903.20865","18602","11965697.2","5812019.40426"
"1755673200","ARBUSDT","0.4878","0.488","0.4821","0.4834","28525614.9","13837228.8614","21021","14005849.1","6796166.64633"
"1755676800","ARBUSDT","0.4834","0.4888","0.4807","0.4815","36658838.6","17781624.56113","21057","17056133.4","8275422.05289"
"1755680400","ARBUSDT","0.4815","0.4963","0.4804","0.4959","53178486.6","26013525.49085","36640","27916472.6","13652694.84228"
"1755684000","ARBUSDT","0.4959","0.496","0.4877","0.4889","31758840.5","15614802.51066","28066","15676844.2","7706864.22737"
"1755687600","ARBUSDT","0.4889","0.4949","0.4883","0.4947","17173157.2","8437572.28695","17780","9115996","4479193.52307"
"1755691200","ARBUSDT","0.4947","0.4957","0.4806","0.4875","40739599","19827728.09975","31379","18640188.9","9065318.10971"
"1755694800","ARBUSDT","0.4875","0.4933","0.4833","0.4857","32729865.4","15962560.04611","32350","15256563.8","7438361.34312"
"1755698400","ARBUSDT","0.4857","0.4864","0.475","0.477","57878140.2","27779253.7203","47706","27804383.3","13347559.85984"
"1755702000","ARBUSDT","0.477","0.4949","0.4725","0.4894","70282648.7","34015785.50767","58308","34035532.4","16470908.28974"
"1755705600","ARBUSDT","0.4895","0.5083","0.4886","0.5003","80488250.9","40398970.0069","69996","40798994.7","20467992.60634"
"1755709200","ARBUSDT","0.5002","0.5163","0.5001","0.5107","46135223","23531914.19307","52274","22919140.7","11686113.02427"
"1755712800","ARBUSDT","0.5106","0.519","0.5094","0.516","35352690.5","18182638.01241","39031","18841305.1","9692824.31705"
"1755716400","ARBUSDT","0.516","0.517","0.5048","0.5081","42253941","21484385.41751","39284","19299932.7","9812825.84298"
"1755720000","ARBUSDT","0.5081","0.5147","0.5075","0.5142","21776213.7","11124643.88158","29453","11293317","5770593.21419"
"1755723600","ARBUSDT","0.5141","0.5156","0.5089","0.5118","18323385","9383158.78888","26303","8386056.8","4294217.97952"
"1755727200","ARBUSDT","0.5119","0.515","0.5064","0.5124","25969301.9","13266901.63938","27688","11566253","5913691.70035"
"1755730800","ARBUSDT","0.5124","0.5162","0.5103","0.5148","11383105.8","5839566.63851","20659","6474728.4","3321953.20964"
"1755734400","ARBUSDT","0.5147","0.5166","0.5099","0.5133","14945629.3","7663593.46554","19921","7284346.3","3734926.27794"
