"ts","symbol","open","high","low","close","volume","quote_volume","trade_count","taker_buy_base","taker_buy_quote"
"1755651600","AVAXUSDT","22.35","22.542","22.333","22.483","548600","12316256.862","28366","270935","6081707.947"
"1755655200","AVAXUSDT","22.482","22.588","22.221","22.559","826822","18523398.827","39753","411520","9221817.647"
"1755658800","AVAXUSDT","22.559","22.668","22.516","22.613","526623","11907304.496","27245","235832","5332554.318"
"1755662400","AVAXUSDT","22.613","22.787","22.57","22.677","447801","10158611.122","23670","219496","4979640.391"
"1755666000","AVAXUSDT","22.679","22.885","22.676","22.823","512316","11684124.186","24177","268753","6129535.384"
"1755669600","AVAXUSDT","22.823","22.955","22.712","22.955","383464","8752968.431","19831","200082","4569264.408"
"1755673200","AVAXUSDT","22.954","22.973","22.774","22.838","449510","10274357.718","22137","202658","4632110.562"
"1755676800","AVAXUSDT","22.836","22.974","22.75","22.768","387088","8850317.416","22009","179338","4100466.092"
"1755680400","AVAXUSDT","22.769","23.02","22.738","23.006","585456","13399966.015","27167","289935","6635914.045"
"1755684000","AVAXUSDT","23.007","23.025","22.866","22.907","525115","12047865.838","23682","261815","6006866.564"
"1755687600","AVAXUSDT","22.906","22.987","22.858","22.932","381009","8732353.476","20010","193597","4437427.925"
"1755691200","AVAXUSDT","22.932","22.956","22.538","22.814","813947","18481097.503","30901","388832","8827129.106"
"1755694800","AVAXUSDT","22.814","23.012","22.752","22.918","742513","16998689.157","34116","373667","8555163.778"
"1755698400","AVAXUSDT","22.918","22.966","22.486","22.571","1546461","35118173.958","58888","754895","17142222.803"
"1755702000","AVAXUSDT","22.57","23.04","22.345","22.87","2096208","47524472.69","75328","1004862","22787778.78"
"1755705600","AVAXUSDT","22.87","23.344","22.832","23.095","1668557","38689151.407","62485","830114","19244476.093"
"1755709200","AVAXUSDT","23.095","23.382","23.092","23.169","903609","21009471.196","38050","438657","10197537.633"
"1755712800","AVAXUSDT","23.17","23.47","23.155","23.372","748219","17438577.275","31646","419913","9790288.364"
"1755716400","AVAXUSDT","23.372","23.394","22.945","23.145","1141176","26379884.169","38640","486754","11254987.145"
"1755720000","AVAXUSDT","23.146","23.533","23.122","23.521","828436","19378780.856","30666","428906","10032924.915"
"1755723600","AVAXUSDT","23.521","23.542","23.414","23.48","578464","13583824.02","25986","281244","6604821.232"
"1755727200","AVAXUSDT","23.48","23.531","23.334","23.453","561221","13156787.57","23173","276252","6476823.093"
"1755730800","AVAXUSDT","23.454","23.545","23.417","23.53","395199","9282010.876","20205","210055","4933452.721"
"1755734400","AVAXUSDT","23.53","23.541","23.406","23.447","310070","7277792.125","17061","142551","3346183.28"
