"ts","symbol","open","high","low","close","volume","quote_volume","trade_count","taker_buy_base","taker_buy_quote"
"1755651600","BCHUSDT","548.16","552.53","548.16","551.43","9069.2","4994672.86562","20441","4601.297","2534032.89658"
"1755655200","BCHUSDT","551.44","553.12","546.56","551.39","9365.116","5148665.14952","23421","4436.419","2438780.90816"
"1755658800","BCHUSDT","551.4","552.96","550.77","551.25","6740.131","3719504.19191","15640","3174.05","1751809.80419"
"1755662400","BCHUSDT","551.26","553.96","550.14","550.54","4757.453","2625267.62925","12149","2638.354","1456065.19332"
"1755666000","BCHUSDT","550.55","553.19","550.45","553.08","5074.973","2799804.0165","10352","2676.665","1476594.7369"
"1755669600","BCHUSDT","553.08","553.59","550.59","553.51","3582.859","1978769.11769","8428","1751.748","967494.95174"
"1755673200","BCHUSDT","553.51","554.78","551.99","553.18","3823.125","2115704.51476","10977","1734.012","959557.16757"
"1755676800","BCHUSDT","553.19","554.15","549.14","549.3","5270.164","2906316.5756","11832","2047.651","1129232.05254"
"1755680400","BCHUSDT","549.31","553.77","548.49","553.03","9213.583","5078549.25574","16321","5051.792","2784678.90504"
"1755684000","BCHUSDT","553.03","553.56","550.27","550.79","9443.136","5210377.33185","14984","4457.387","2459665.28255"
"1755687600","BCHUSDT","550.8","552.66","549.85","552.07","6406.499","3531868.34598","12783","2968.715","1636806.2171"
"1755691200","BCHUSDT","552.05","552.44","545.45","549.91","11310.673","6197078.50044","18643","4926.577","2699061.27845"
"1755694800","BCHUSDT","549.92","553.4","549.7","551.5","8476.487","4675748.68255","18146","4216.703","2325845.09572"
"1755698400","BCHUSDT","551.47","551.98","545.08","545.95","12689.19","6957816.2688","26659","6323.211","3467643.16517"
"1755702000","BCHUSDT","545.95","552.75","542.93","550.3","20366.749","11143709.66115","36722","9531.74","5217263.95264"
"1755705600","BCHUSDT","550.28","557.6","549.56","552.64","20125.399","11165924.32916","32401","11131.076","6175516.29693"
"1755709200","BCHUSDT","552.67","557.93","552.54","554.92","9311.038","5174096.93567","20489","4337.163","2410546.83901"
"1755712800","BCHUSDT","554.92","560.37","554.77","558.72","10070.666","5616664.0304","17445","5748.268","3206721.01179"
"1755716400","BCHUSDT","558.72","559.09","552.39","555.58","8713.393","4832263.35935","18442","4304.227","2387370.70363"
"1755720000","BCHUSDT","555.58","561.82","555.55","561.64","8708.979","4869873.52692","14762","5031.129","2812815.6026"
"1755723600","BCHUSDT","561.63","561.99","559.68","559.8","9171.4","5142675.47925","14653","4509.853","2528850.64251"
"1755727200","BCHUSDT","559.8","560.87","558.06","559.68","5005.425","2801068.37339","9860","2723.056","1524065.9999"
"1755730800","BCHUSDT","559.66","562.56","558.4","562.04","5778.747","3239091.66589","11750","3275.648","1836993.79502"
"1755734400","BCHUSDT","562.02","562.24","558.58","560.64","6834.027","3830722.82324","11658","2990.793","1676611.96437"
