"ts","symbol","open","high","low","close","volume","quote_volume","trade_count","taker_buy_base","taker_buy_quote"
"1755651600","BIOUSDT","0.12356","0.12488","0.12232","0.12259","63868776","7886136.37179","51040","29637494","3661637.34183"
"1755655200","BIOUSDT","0.12256","0.1237","0.12073","0.12325","68803668","8396246.12802","53451","35770548","4367660.47554"
"1755658800","BIOUSDT","0.12326","0.12506","0.12225","0.12429","66475478","8243100.53526","49182","38671130","4796292.22948"
"1755662400","BIOUSDT","0.12429","0.12546","0.12367","0.12443","45650548","5692035.82383","38695","26242812","3272275.36446"
"1755666000","BIOUSDT","0.12443","0.12667","0.1244","0.1265","49336709","6195291.25905","43266","26301603","3303131.81377"
"1755669600","BIOUSDT","0.1265","0.12827","0.12492","0.12809","53125503","6718094.42962","51448","27812327","3519680.5693"
"1755673200","BIOUSDT","0.12811","0.13199","0.12777","0.13101","104967915","13615562.45845","88519","53054049","6883090.09018"
"1755676800","BIOUSDT","0.13102","0.13806","0.13065","0.13488","139064169","18717729.962","104861","69573453","9364078.07574"
"1755680400","BIOUSDT","0.13485","0.13832","0.13274","0.13624","120604181","16340776.13255","106419","60324368","8177394.90466"
"1755684000","BIOUSDT","0.13624","0.14074","0.13447","0.14039","105510506","14618915.03758","95787","52103378","7224790.26229"
"1755687600","BIOUSDT","0.14039","0.14557","0.13939","0.14466","149176611","21208348.14249","124174","77969290","11098634.01793"
"1755691200","BIOUSDT","0.14467","0.15504","0.14329","0.15233","494765356","74279964.56452","373216","245963897","36941069.41434"
"1755694800","BIOUSDT","0.15237","0.1678","0.15155","0.16349","581102076","93334040.49967","439010","305331864","49036199.95501"
"1755698400","BIOUSDT","0.16349","0.1684","0.158","0.16315","481837657","78706203.45918","344636","231523818","37855549.95669"
"1755702000","BIOUSDT","0.16315","0.16659","0.15633","0.16633","519839728","83694702.07339","368084","262716755","42328584.42895"
"1755705600","BIOUSDT","0.16633","0.1749","0.14518","0.14604","975398395","157009349.30622","669098","469903999","75754857.82366"
"1755709200","BIOUSDT","0.14607","0.14951","0.1404","0.14197","621989786","89687236.2348","484784","318553096","45965885.017"
"1755712800","BIOUSDT","0.14196","0.15302","0.14187","0.14438","303570872","44884550.93081","246311","151139180","22338542.53165"
"1755716400","BIOUSDT","0.14434","0.1475","0.1403","0.14645","231541857","33310095.00707","183906","115902952","16689400.53513"
"1755720000","BIOUSDT","0.14645","0.14822","0.14413","0.14623","116808117","17118347.77395","118255","59343766","8699583.92899"
"1755723600","BIOUSDT","0.14622","0.15264","0.14588","0.14964","136271763","20331434.18799","137733","69687191","10399259.72859"
"1755727200","BIOUSDT","0.14961","0.14964","0.14443","0.14536","89861947","13185236.78198","85710","41163656","6039303.65421"
"1755730800","BIOUSDT","0.14536","0.14895","0.14373","0.14884","76926591","11241940.57828","84716","40678492","5943762.80738"
"1755734400","BIOUSDT","0.1488","0.1496","0.14624","0.14652","63128304","9332601.0421","71584","32426680","4795144.54382"
