"ts","symbol","open","high","low","close","volume","quote_volume","trade_count","taker_buy_base","taker_buy_quote"
"1755651600","BNBUSDT","824.45","829.96","823.97","825.6","50490.14","41715245.2303","52477","24491.89","20229935.1521"
"1755655200","BNBUSDT","825.59","830.97","818.54","828.54","70879.43","58374518.4299","76620","33765.14","27807832.8838"
"1755658800","BNBUSDT","828.54","831.36","826.75","830.6","22011.96","18260466.1916","35994","10235.22","8490984.2436"
"1755662400","BNBUSDT","830.6","837.59","829.38","836.82","29972.01","25026059.0426","40901","17564.24","14663068.3343"
"1755666000","BNBUSDT","836.83","837.71","834.74","836.11","19725.5","16500650.1373","26523","9652.91","8075580.5484"
"1755669600","BNBUSDT","836.12","836.48","833.53","834.55","11840.69","9882989.3423","21114","5139.55","4289926.9658"
"1755673200","BNBUSDT","834.61","837.2","832.73","836.6","11252.53","9399544.766","23527","6171.17","5154761.1513"
"1755676800","BNBUSDT","836.61","837.87","834.04","834.71","16469.61","13773816.8669","24818","7828.57","6549323.7071"
"1755680400","BNBUSDT","834.72","835.28","833.2","834.74","40186.63","33528575.2329","38053","22001.38","18357479.1241"
"1755684000","BNBUSDT","834.78","835.34","829.1","829.71","28098.03","23388202.8283","36706","12365.11","10293469.5954"
"1755687600","BNBUSDT","829.71","834.4","829.71","834.13","12501.27","10405661.3266","25626","7150.46","5950780.5744"
"1755691200","BNBUSDT","834.13","834.8","826.37","831.49","28040.29","23274888.6988","40149","12520.24","10390220.2158"
"1755694800","BNBUSDT","831.49","834.82","830.22","833.11","20883.96","17395063.683","34481","9782.75","8148487.6756"
"1755698400","BNBUSDT","833.11","833.2","823.3","824.78","43732.65","36200244.9191","58623","22047.8","18250295.4795"
"1755702000","BNBUSDT","824.78","831.24","819.06","829.04","69843.64","57668095.5692","83724","32040.67","26462669.075"
"1755705600","BNBUSDT","829.05","838.28","828.42","833.53","66086.47","55205641.5906","61094","35609.16","29744730.3226"
"1755709200","BNBUSDT","833.55","844.37","833.55","840.8","50483.72","42415290.6004","58024","28265.55","23748527.6521"
"1755712800","BNBUSDT","840.79","848.12","839.41","845.89","42868.26","36195384.815","52468","21046.11","17777070.9679"
"1755716400","BNBUSDT","845.88","854.39","843.65","854.08","120729.79","102518419.3864","84627","71862.16","61074935.1262"
"1755720000","BNBUSDT","854.09","870.99","853.67","869.66","164767.34","142580945.7103","154323","83387.13","72148808.5039"
"1755723600","BNBUSDT","869.65","875.83","867.14","873.4","82978.48","72368745.8824","97219","42740.25","37276610.0803"
"1755727200","BNBUSDT","873.4","882","871.95","877.89","74055.92","65039144.3386","88452","39912.99","35056208.8878"
"1755730800","BNBUSDT","877.89","880.55","873.89","876.09","40467.92","35477339.0677","53178","20004.07","17538200.4155"
"1755734400","BNBUSDT","876.1","877.46","869.39","869.71","57358.59","50082117.8374","53621","21629.08","18882687.91"
