"ts","symbol","open","high","low","close","volume","quote_volume","trade_count","taker_buy_base","taker_buy_quote"
"1755651600","CFXUSDT","0.16481","0.16747","0.16478","0.16583","19086568","3169269.41489","24015","9663488","1604372.89674"
"1755655200","CFXUSDT","0.1658","0.16801","0.16503","0.16789","16093438","2682583.78731","22920","8236601","1373198.95839"
"1755658800","CFXUSDT","0.16789","0.16882","0.16735","0.16852","8836151","1487705.94402","15143","4212101","709219.15414"
"1755662400","CFXUSDT","0.1685","0.17039","0.1685","0.16943","8327306","1411480.31212","13355","4297707","728478.81652"
"1755666000","CFXUSDT","0.16943","0.17016","0.16906","0.16977","6425951","1090576.61557","13003","3021913","512893.58968"
"1755669600","CFXUSDT","0.16977","0.17107","0.16916","0.17107","6152998","1045997.3105","11016","2992821","509030.51161"
"1755673200","CFXUSDT","0.17108","0.1718","0.1702","0.17136","11049101","1889649.62653","16261","4635226","792896.73118"
"1755676800","CFXUSDT","0.17137","0.17205","0.17066","0.17095","6605275","1131681.87102","13508","2733567","468529.61077"
"1755680400","CFXUSDT","0.17096","0.17376","0.17082","0.17313","17003699","2939193.11103","19620","8484096","1466729.52818"
"1755684000","CFXUSDT","0.17313","0.17364","0.17226","0.17254","10374889","1794041.41433","15178","5274679","912208.86002"
"1755687600","CFXUSDT","0.17254","0.17366","0.17245","0.17298","6697016","1159482.88646","12435","3250859","562813.96801"
"1755691200","CFXUSDT","0.17299","0.20098","0.17045","0.18451","361613357","67537801.99727","237818","196415429","36640397.8001"
"1755694800","CFXUSDT","0.18458","0.1935","0.17116","0.17619","462556594","84189790.39541","359167","233672250","42482927.28231"
"1755698400","CFXUSDT","0.17619","0.1793","0.17466","0.17644","98797822","17492860.45658","108111","45801768","8111982.32052"
"1755702000","CFXUSDT","0.17644","0.18749","0.1746","0.18586","111525928","20316327.01726","128831","52860589","9616573.71054"
"1755705600","CFXUSDT","0.18587","0.18809","0.17987","0.18072","93697198","17273846.14704","113332","42139578","7766993.93698"
"1755709200","CFXUSDT","0.18071","0.18352","0.17833","0.18072","47987094","8695586.54333","60156","23652203","4288367.1504"
"1755712800","CFXUSDT","0.18071","0.18391","0.18054","0.18269","34374891","6270954.93294","47714","16767490","3059298.84058"
"1755716400","CFXUSDT","0.18269","0.18674","0.18123","0.18662","29024391","5345995.95375","45059","14601932","2690676.95469"
"1755720000","CFXUSDT","0.18662","0.19093","0.18646","0.18798","47743373","9018702.61128","59070","19381589","3661837.85118"
"1755723600","CFXUSDT","0.18798","0.18977","0.18625","0.18918","21027756","3954871.31835","34293","10633229","2000192.40679"
"1755727200","CFXUSDT","0.18917","0.19088","0.18845","0.18889","18766038","3556618.73431","29721","9285515","1760172.18148"
"1755730800","CFXUSDT","0.18889","0.18955","0.18575","0.18668","22612484","4233305.3481","31269","10519508","1969339.86428"
"1755734400","CFXUSDT","0.18667","0.18668","0.18433","0.18514","24172936","4476417.19833","32657","11029591","2042483.45884"
