"ts","symbol","open","high","low","close","volume","quote_volume","trade_count","taker_buy_base","taker_buy_quote"
"1755651600","CRVUSDT","0.821","0.831","0.82","0.826","9222964.2","7629068.9767","15458","4727464.2","3910375.4384"
"1755655200","CRVUSDT","0.827","0.836","0.819","0.834","8702087.1","7192020.7387","15584","4414843.9","3649895.4904"
"1755658800","CRVUSDT","0.834","0.839","0.831","0.836","6870532","5738205.2313","12990","3212758","2683856.784"
"1755662400","CRVUSDT","0.836","0.846","0.832","0.838","6974464.4","5845024.6369","13172","3618429.4","3033013.9601"
"1755666000","CRVUSDT","0.839","0.857","0.838","0.856","7865586.7","6675821.6865","14800","4212446.9","3575520.9616"
"1755669600","CRVUSDT","0.856","0.857","0.848","0.852","6229986.2","5315909.3612","11411","3211179.4","2740215.3582"
"1755673200","CRVUSDT","0.853","0.853","0.844","0.848","6848715.6","5805291.9231","9976","3219892.9","2729207.4371"
"1755676800","CRVUSDT","0.848","0.858","0.845","0.847","6121724.9","5205832.1988","10350","2966138.4","2523294.6576"
"1755680400","CRVUSDT","0.847","0.858","0.845","0.851","8289481.2","7065783.2385","12128","4441077.1","3785654.4145"
"1755684000","CRVUSDT","0.852","0.86","0.848","0.858","6690570.5","5708065.5275","9455","3390807.8","2894713.033"
"1755687600","CRVUSDT","0.858","0.86","0.85","0.856","6646776","5680417.6974","9578","3185187.7","2722596.8812"
"1755691200","CRVUSDT","0.856","0.859","0.84","0.851","8137168.4","6909817.8986","12861","3578329","3041022.9621"
"1755694800","CRVUSDT","0.852","0.863","0.847","0.848","8867009.5","7573483.1183","14841","4659595.9","3981788.3923"
"1755698400","CRVUSDT","0.849","0.854","0.833","0.839","10122966","8521028.4917","18661","4727333.2","3980442.4298"
"1755702000","CRVUSDT","0.838","0.869","0.834","0.868","15136040","12917216.5159","24731","8336379.7","7120100.9856"
"1755705600","CRVUSDT","0.869","0.887","0.866","0.87","19109884.7","16763497.5355","28151","9744232.7","8546100.7134"
"1755709200","CRVUSDT","0.869","0.895","0.869","0.885","16347593","14468124.0219","22911","8143448.4","7205480.0039"
"1755712800","CRVUSDT","0.885","0.892","0.879","0.887","8833530.2","7820589.024","14280","4538586.1","4019498.5898"
"1755716400","CRVUSDT","0.887","0.887","0.866","0.872","10128408.6","8848027.0368","16042","4567621.4","3990015.9172"
"1755720000","CRVUSDT","0.872","0.885","0.871","0.885","6979488.1","6128956.115","13076","3552076.2","3119153.8423"
"1755723600","CRVUSDT","0.884","0.885","0.878","0.882","4611497.3","4068728.1489","11734","2437474.4","2150749.6048"
"1755727200","CRVUSDT","0.882","0.885","0.875","0.88","4008486.4","3530356.3166","9619","1930305.2","1700012.4082"
"1755730800","CRVUSDT","0.881","0.886","0.876","0.883","3996852","3520682.8341","10312","2015170.4","1775522.6026"
"1755734400","CRVUSDT","0.883","0.884","0.877","0.883","2925265.2","2574591.2944","7884","1625505.5","1431096.6618"
