"ts","symbol","open","high","low","close","volume","quote_volume","trade_count","taker_buy_base","taker_buy_quote"
"1755651600","DOGEUSDT","0.20932","0.21159","0.20926","0.21096","268822170","56642837.17235","85768","137916399","29047164.12996"
"1755655200","DOGEUSDT","0.21097","0.21203","0.20792","0.21084","422196778","88591593.89581","124021","206600086","43378559.43934"
"1755658800","DOGEUSDT","0.21084","0.21231","0.21017","0.21124","235077373","49717818.1025","79292","138007144","29188684.95326"
"1755662400","DOGEUSDT","0.21123","0.21324","0.21071","0.21169","206525719","43769067.1881","69562","120061748","25447919.38686"
"1755666000","DOGEUSDT","0.2117","0.2135","0.21159","0.21302","218619824","46528994.82131","60876","120598964","25663605.93694"
"1755669600","DOGEUSDT","0.21302","0.21324","0.21182","0.21321","122276664","25993692.0059","45439","60244677","12808026.37303"
"1755673200","DOGEUSDT","0.21321","0.21331","0.21145","0.21289","178149067","37861692.99071","61238","90927155","19324529.38604"
"1755676800","DOGEUSDT","0.2129","0.21401","0.21234","0.21252","193697100","41297023.26438","60896","92147306","19650975.01391"
"1755680400","DOGEUSDT","0.21253","0.21516","0.21217","0.21498","289578896","61937514.69848","76880","153442972","32828150.52818"
"1755684000","DOGEUSDT","0.21499","0.2151","0.21348","0.2142","211884895","45397233.0581","69236","111829727","23960288.581"
"1755687600","DOGEUSDT","0.21419","0.21564","0.21378","0.21503","238003240","51102416.55427","73999","113722387","24419959.05989"
"1755691200","DOGEUSDT","0.21504","0.21548","0.21122","0.21395","366236719","77995934.0025","100225","163878980","34904781.92369"
"1755694800","DOGEUSDT","0.21395","0.216","0.21319","0.21433","363032572","77904062.33702","111212","181786651","39011446.38281"
"1755698400","DOGEUSDT","0.21433","0.21437","0.20913","0.20994","645006994","136541195.76352","168201","304544981","64500884.17759"
"1755702000","DOGEUSDT","0.20994","0.21484","0.20744","0.21364","934089986","197283578.9539","220678","434177326","91736330.5907"
"1755705600","DOGEUSDT","0.21365","0.21789","0.2133","0.21498","660113138","142742687.25935","178167","308334426","66670475.81235"
"1755709200","DOGEUSDT","0.21498","0.21837","0.21497","0.21692","506703861","109957003.68329","117960","261023993","56642437.19873"
"1755712800","DOGEUSDT","0.21692","0.22018","0.21682","0.21913","421711562","92213234.55524","117386","230917584","50494026.27018"
"1755716400","DOGEUSDT","0.21912","0.21934","0.21562","0.21701","378045939","82060932.35723","111600","172865431","37530944.72455"
"1755720000","DOGEUSDT","0.21701","0.22164","0.21691","0.22119","323354731","71055877.93088","104808","186390544","40953032.19693"
"1755723600","DOGEUSDT","0.22119","0.22191","0.22045","0.22125","175143426","38736251.77802","72633","90925945","20110856.87872"
"1755727200","DOGEUSDT","0.22125","0.22261","0.22034","0.2217","247437753","54799275.82854","73020","115424496","25567398.40253"
"1755730800","DOGEUSDT","0.2217","0.22278","0.22113","0.22258","213970032","47457098.61671","65736","123062782","27294134.46934"
"1755734400","DOGEUSDT","0.22257","0.22263","0.22118","0.2216","121326936","26902205.61748","51886","58266999","12919031.82179"
