"ts","symbol","open","high","low","close","volume","quote_volume","trade_count","taker_buy_base","taker_buy_quote"
"1755651600","DOTUSDT","3.717","3.75","3.714","3.738","1627581.6","6077984.5892","19971","728619.7","2720668.7398"
"1755655200","DOTUSDT","3.737","3.752","3.693","3.745","2571805.4","9568127.8197","23602","1288568.4","4795342.8313"
"1755658800","DOTUSDT","3.746","3.761","3.732","3.737","2545536.4","9530269.9409","17129","1031616.2","3863438.1744"
"1755662400","DOTUSDT","3.737","3.775","3.728","3.751","1239961.9","4651341.3481","13499","593205","2225832.2487"
"1755666000","DOTUSDT","3.751","3.784","3.75","3.777","1192492.2","4499233.6974","10625","698566.9","2635374.5478"
"1755669600","DOTUSDT","3.776","3.783","3.759","3.782","954461.7","3598996.4675","8520","508449.7","1917289.3124"
"1755673200","DOTUSDT","3.782","3.784","3.749","3.768","1062058.2","4000281.656","11638","475238.4","1790346.6341"
"1755676800","DOTUSDT","3.768","3.787","3.764","3.768","1420585","5364927.1778","11155","752951.3","2844014.4963"
"1755680400","DOTUSDT","3.768","3.814","3.762","3.812","2082231.8","7900644.8897","16789","1108947.2","4208220.0755"
"1755684000","DOTUSDT","3.813","3.814","3.792","3.804","1166711.2","4439057.3289","11355","574356.8","2185312.404"
"1755687600","DOTUSDT","3.804","3.812","3.789","3.791","1210221.4","4597498.5966","10100","505451.9","1920460.3953"
"1755691200","DOTUSDT","3.792","3.795","3.731","3.776","2472859.9","9293361.0513","17975","1168206","4389131.1794"
"1755694800","DOTUSDT","3.777","3.809","3.772","3.792","2032719.6","7704275.5055","18075","989358.4","3750659.8323"
"1755698400","DOTUSDT","3.793","3.798","3.721","3.732","3408139.6","12798628.5788","26189","1759104.9","6605619.1903"
"1755702000","DOTUSDT","3.731","3.816","3.706","3.788","4564695.8","17150868.4994","34672","2244366.3","8427734.5435"
"1755705600","DOTUSDT","3.788","3.864","3.781","3.819","4072549.8","15621450.2481","29549","1787270","6854392.9603"
"1755709200","DOTUSDT","3.82","3.877","3.819","3.849","2401047.7","9257543.8089","19201","1074149.1","4140550.6758"
"1755712800","DOTUSDT","3.849","3.89","3.841","3.877","1923926.8","7429754.3778","16494","1060331.6","4096138.9329"
"1755716400","DOTUSDT","3.877","3.878","3.815","3.846","1885442","7233012.3772","17951","805153.6","3090077.7234"
"1755720000","DOTUSDT","3.846","3.903","3.842","3.901","1589401.6","6167051.7522","15373","706041.3","2739301.9243"
"1755723600","DOTUSDT","3.901","3.904","3.883","3.893","996279.6","3878914.5948","12448","426985.9","1662474.8234"
"1755727200","DOTUSDT","3.893","3.903","3.875","3.888","1069235.4","4159453.9508","10888","430212","1674507.5129"
"1755730800","DOTUSDT","3.889","3.904","3.883","3.899","850297","3310634.3915","10219","482913","1880498.97"
"1755734400","DOTUSDT","3.898","3.899","3.876","3.883","653927.5","2541970.9302","7866","246382.3","957955.1146"
