"ts","symbol","open","high","low","close","volume","quote_volume","trade_count","taker_buy_base","taker_buy_quote"
"1755651600","ENAUSDT","0.6364","0.6508","0.6362","0.6448","50899257","32828291.5605","54397","29135931","18798446.1386"
"1755655200","ENAUSDT","0.6448","0.65","0.6409","0.6476","41688629","26941166.0088","48452","21824299","14108838.4485"
"1755658800","ENAUSDT","0.6475","0.6517","0.6442","0.6446","28773551","18636434.3302","31720","16172949","10478606.0504"
"1755662400","ENAUSDT","0.6446","0.648","0.639","0.6418","28844164","18549876.3905","32077","16041427","10320983.4089"
"1755666000","ENAUSDT","0.6418","0.6485","0.6416","0.647","22259750","14353370.7477","27271","13568073","8748558.9111"
"1755669600","ENAUSDT","0.6471","0.6508","0.6434","0.6507","23934698","15490067.051","25713","13648742","8834675.08"
"1755673200","ENAUSDT","0.6507","0.6551","0.6462","0.6471","35240151","22942419.1194","34901","18466506","12025850.6886"
"1755676800","ENAUSDT","0.6472","0.6523","0.647","0.649","24931922","16194818.5811","28908","12578862","8170915.9539"
"1755680400","ENAUSDT","0.6491","0.6568","0.6479","0.6554","36897249","24136037.9945","38383","20237948","13239602.5225"
"1755684000","ENAUSDT","0.6554","0.658","0.6433","0.6435","58869807","38234627.8433","57128","29876306","19404917.2317"
"1755687600","ENAUSDT","0.6436","0.6512","0.641","0.6467","33958334","21916396.0375","38522","15819886","10209515.7083"
"1755691200","ENAUSDT","0.6467","0.6486","0.633","0.6408","52737025","33693360.8826","49175","23873528","15260240.7101"
"1755694800","ENAUSDT","0.6407","0.6484","0.637","0.6407","44420377","28522643.8313","47767","21718494","13936919.9487"
"1755698400","ENAUSDT","0.6407","0.6407","0.624","0.6257","116110247","73085774.1766","87567","55858045","35168874.4443"
"1755702000","ENAUSDT","0.6256","0.6469","0.6215","0.6434","108861418","69070527.7739","92729","52128215","33105039.8015"
"1755705600","ENAUSDT","0.6435","0.6593","0.6425","0.6472","116982558","76453838.3099","89766","58987264","38553731.6172"
"1755709200","ENAUSDT","0.6471","0.6591","0.6461","0.6512","54122489","35398939.4438","53711","27364832","17898372.5073"
"1755712800","ENAUSDT","0.6511","0.6613","0.649","0.6578","46590618","30581612.9712","48909","25871766","16988086.9794"
"1755716400","ENAUSDT","0.6578","0.6584","0.6414","0.6445","50444786","32654389.3528","55160","22985245","14876522.8747"
"1755720000","ENAUSDT","0.6445","0.6587","0.6434","0.6579","48959722","31842344.2946","48328","26259919","17087007.171"
"1755723600","ENAUSDT","0.6578","0.66","0.6512","0.6576","35113372","23022800.8294","36536","18640512","12227638.4677"
"1755727200","ENAUSDT","0.6575","0.6599","0.6505","0.6544","29248911","19148397.5426","33065","13486421","8833658.3338"
"1755730800","ENAUSDT","0.6544","0.6623","0.6512","0.6601","27889127","18320067.0299","35605","17021704","11188251.8775"
"1755734400","ENAUSDT","0.6601","0.6615","0.6553","0.6568","23304537","15334315.8392","30711","10700969","7041190.6979"
