"ts","symbol","open","high","low","close","volume","quote_volume","trade_count","taker_buy_base","taker_buy_quote"
"1755651600","ETHUSDT","4073.93","4114","4072.92","4102.72","336145.199","1376909229.58363","370557","191239.946","783488434.8624"
"1755655200","ETHUSDT","4102.72","4121.15","4060","4108.79","382870.988","1567128099.20242","432457","188914.065","773276571.14727"
"1755658800","ETHUSDT","4108.78","4140.73","4103.6","4135","218129.891","900143648.34878","278264","120005.732","495187022.63866"
"1755662400","ETHUSDT","4135","4156.29","4126.32","4139","169262.707","701036900.1461","238587","82765.11","342815188.019"
"1755666000","ETHUSDT","4138.99","4179.95","4137.3","4168.11","200949.009","836182371.20341","241982","110534.918","460019929.53877"
"1755669600","ETHUSDT","4168.11","4182.48","4152.69","4180.99","113851.088","474415738.30399","161851","58007.46","241785762.67181"
"1755673200","ETHUSDT","4180.99","4186.94","4166.44","4180","146658.186","612827433.64799","195046","62347.28","260535788.25039"
"1755676800","ETHUSDT","4180","4209.83","4180","4183.66","241342.414","1012442161.92628","259520","113295.461","475263471.62742"
"1755680400","ETHUSDT","4183.66","4240","4176.9","4236.95","323037.767","1362140662.40314","340221","176834.613","745701293.61072"
"1755684000","ETHUSDT","4236.96","4237.79","4215.75","4221.06","184440.931","779218679.93209","222841","78754.115","332735703.6295"
"1755687600","ETHUSDT","4221.07","4232.01","4208.69","4225.29","142803.375","602445052.15868","180980","68564.25","289288377.63175"
"1755691200","ETHUSDT","4225.29","4230.44","4146.24","4193.49","465018.953","1944856731.2974","442545","200444.87","838428981.2466"
"1755694800","ETHUSDT","4193.48","4221.33","4173.81","4203.28","322148.306","1352559324.97772","410038","170170.663","714633470.44586"
"1755698400","ETHUSDT","4203.28","4214.22","4126.3","4134.06","569937.173","2374442768.65872","702613","267705.445","1115754644.1835"
"1755702000","ETHUSDT","4134.06","4234.66","4104.33","4211.67","804154.695","3351765040.37157","901824","413326.004","1723335168.10456"
"1755705600","ETHUSDT","4211.67","4306.55","4204","4253.47","806268.744","3446114126.72176","867994","393063.434","1679490951.12821"
"1755709200","ETHUSDT","4253.46","4326.99","4252.72","4299.77","492888.752","2119549259.33113","557860","258672.217","1112247102.90984"
"1755712800","ETHUSDT","4299.76","4363","4295.95","4341.76","376726.526","1631238563.55684","471703","203840.611","882985404.21128"
"1755716400","ETHUSDT","4341.76","4343.81","4261","4289.55","462619.941","1985650920.50733","535906","210235.81","902487784.83296"
"1755720000","ETHUSDT","4289.56","4349.77","4284.08","4344.33","275008.954","1189474497.93838","370793","145525.248","629383991.42611"
"1755723600","ETHUSDT","4344.32","4371.28","4329.37","4353.41","194642.965","846000935.13302","265153","101490.778","441248485.14857"
"1755727200","ETHUSDT","4353.41","4365","4318.82","4340","191760.385","832378831.29465","226248","91464.223","397122405.75006"
"1755730800","ETHUSDT","4340","4376.13","4335","4364.03","131117.297","570985597.57743","228175","63916.697","278403147.80554"
"1755734400","ETHUSDT","4364.02","4365.46","4324.06","4334.5","118225.264","513107444.90275","167083","55308.46","240059822.2282"
