"ts","symbol","open","high","low","close","volume","quote_volume","trade_count","taker_buy_base","taker_buy_quote"
"1755651600","FARTCOINUSDT","0.8525","0.8681","0.8507","0.8638","18936404.7","16296797.20532","53745","9864685.7","8488458.75589"
"1755655200","FARTCOINUSDT","0.8637","0.8768","0.853","0.8728","27785754.7","24038602.13515","71638","12326605.2","10665657.10506"
"1755658800","FARTCOINUSDT","0.8728","0.8829","0.8703","0.8716","13297342.7","11650739.08201","44252","6402853.9","5610889.79828"
"1755662400","FARTCOINUSDT","0.8717","0.8844","0.8673","0.8723","9470038.8","8282123.1875","33302","5208639.5","4555953.40119"
"1755666000","FARTCOINUSDT","0.8723","0.8936","0.872","0.8866","16933633.7","15010284.82878","44735","8444184.3","7481249.79496"
"1755669600","FARTCOINUSDT","0.8867","0.89","0.8793","0.8899","9930241.9","8784012.50063","30337","4650589.3","4115625.59102"
"1755673200","FARTCOINUSDT","0.8899","0.8907","0.8741","0.8777","12997820.7","11452739.512","37753","5993369.8","5283619.50432"
"1755676800","FARTCOINUSDT","0.8776","0.885","0.875","0.8772","8234129.5","7241958.50294","24690","4122542.9","3627268.26492"
"1755680400","FARTCOINUSDT","0.8772","0.8943","0.8757","0.8914","14969324.8","13294910.15358","34938","7337281.3","6516058.03771"
"1755684000","FARTCOINUSDT","0.8914","0.8914","0.8824","0.8846","8846501.5","7839992.29334","28297","4224249.9","3744205.51669"
"1755687600","FARTCOINUSDT","0.8845","0.8912","0.8821","0.8883","7236225.3","6410420.41388","24771","3267979.1","2895834.00055"
"1755691200","FARTCOINUSDT","0.8883","0.8945","0.8699","0.8848","22565504.9","19878468.07967","54439","10704348.8","9437272.39403"
"1755694800","FARTCOINUSDT","0.8847","0.8965","0.8783","0.8854","18013094","15980005.78308","58204","8204547.5","7276139.55036"
"1755698400","FARTCOINUSDT","0.8853","0.8869","0.8584","0.8633","37199932.8","32410858.25069","95798","18382369.5","16014529.87579"
"1755702000","FARTCOINUSDT","0.8632","0.8938","0.8501","0.8814","47368134.7","41354991.46574","130278","21975383.6","19167269.72524"
"1755705600","FARTCOINUSDT","0.8816","0.907","0.8798","0.8936","39903087.7","35845697.9221","107149","18965659.8","17032897.62474"
"1755709200","FARTCOINUSDT","0.8936","0.9135","0.8919","0.9029","23830885.4","21579959.97777","75251","12067389.1","10929708.93752"
"1755712800","FARTCOINUSDT","0.9029","0.9198","0.902","0.9149","17634455.7","16058865.8789","60823","9481869","8637985.35027"
"1755716400","FARTCOINUSDT","0.9148","0.9157","0.8875","0.8974","22713090","20402465.72094","62517","10358589.2","9302840.99519"
"1755720000","FARTCOINUSDT","0.8974","0.9233","0.8957","0.9206","18397066","16769325.28719","58691","9452285.1","8614479.25845"
"1755723600","FARTCOINUSDT","0.9205","0.9277","0.9154","0.9226","18738017.8","17278270.73927","50766","9648942.6","8898830.6482"
"1755727200","FARTCOINUSDT","0.9225","0.9281","0.9105","0.9208","17680195.4","16263704.7029","46441","8633225.9","7945325.47938"
"1755730800","FARTCOINUSDT","0.9209","0.9273","0.9165","0.9229","10249292","9449195.29281","38940","5628652.2","5190270.51257"
"1755734400","FARTCOINUSDT","0.9228","0.9247","0.9147","0.9175","8007895","7351124.50875","24203","3542396.9","3252769.13264"
