"ts","symbol","open","high","low","close","volume","quote_volume","trade_count","taker_buy_base","taker_buy_quote"
"1755651600","FILUSDT","2.357","2.381","2.357","2.373","1731983.8","4104348.5406","9739","816067.5","1933705.8868"
"1755655200","FILUSDT","2.374","2.384","2.346","2.373","4138545.4","9795433.387","13503","2015828","4771475.8327"
"1755658800","FILUSDT","2.373","2.382","2.359","2.362","3128522.3","7412106.2781","11383","1152432.3","2730295.7507"
"1755662400","FILUSDT","2.361","2.379","2.354","2.365","1858858.6","4399782.0163","9261","1110346.6","2629157.4487"
"1755666000","FILUSDT","2.366","2.385","2.364","2.379","1233256.3","2933252.3387","6977","548495.1","1304508.1519"
"1755669600","FILUSDT","2.379","2.388","2.37","2.387","883525.9","2101817.3796","6973","397428.1","945566.21"
"1755673200","FILUSDT","2.388","2.39","2.369","2.376","1305115","3103447.7961","7486","606355.8","1442325.6285"
"1755676800","FILUSDT","2.376","2.389","2.373","2.375","1153619.5","2747215.5349","7041","585894.5","1395508.102"
"1755680400","FILUSDT","2.376","2.406","2.374","2.404","1324994.4","3170201.3144","9448","758177.9","1814066.7139"
"1755684000","FILUSDT","2.405","2.405","2.391","2.395","1151271.3","2761946.0087","7705","529864.3","1271154.0958"
"1755687600","FILUSDT","2.395","2.408","2.393","2.401","920814.6","2210376.6562","6365","422940.5","1015550.3522"
"1755691200","FILUSDT","2.402","2.405","2.361","2.392","2562202","6096371.0893","11400","1105255.8","2629832.3032"
"1755694800","FILUSDT","2.393","2.411","2.386","2.392","2037786.7","4886536.0646","12397","1039188.5","2492876.3124"
"1755698400","FILUSDT","2.392","2.394","2.348","2.355","3392388.5","8032331.2738","15451","1486798","3520849.864"
"1755702000","FILUSDT","2.355","2.408","2.333","2.395","4982364.1","11782529.9004","22004","2356452.1","5577533.3359"
"1755705600","FILUSDT","2.396","2.439","2.391","2.414","3336462.4","8081448.0101","16435","1735706.5","4204757.2354"
"1755709200","FILUSDT","2.414","2.442","2.413","2.423","2701310.6","6553422.3054","12447","1119875","2718127.4142"
"1755712800","FILUSDT","2.424","2.446","2.417","2.436","1658679.2","4030915.5361","10072","931889.8","2265098.9058"
"1755716400","FILUSDT","2.437","2.438","2.394","2.412","3565578.1","8581854.9774","12916","1612854.9","3880556.4439"
"1755720000","FILUSDT","2.413","2.449","2.411","2.448","1362741.5","3315919.4594","9120","754074.4","1835077.7892"
"1755723600","FILUSDT","2.448","2.45","2.438","2.441","1130747.3","2763741.8298","7165","536723.2","1312087.9952"
"1755727200","FILUSDT","2.441","2.448","2.429","2.439","1066123.9","2598824.2273","6610","434384.9","1059417.6931"
"1755730800","FILUSDT","2.44","2.448","2.434","2.444","998889.2","2439002.4842","7088","583564.2","1424910.9547"
"1755734400","FILUSDT","2.443","2.444","2.43","2.435","732505","1784163.4541","4910","335517.1","817350.4487"
