"ts","symbol","open","high","low","close","volume","quote_volume","trade_count","taker_buy_base","taker_buy_quote"
"1755651600","HBARUSDT","0.23141","0.23333","0.23131","0.23247","21025866","4887976.77233","28695","9411933","2188355.90439"
"1755655200","HBARUSDT","0.23244","0.23363","0.23035","0.23323","18103553","4199330.20081","28441","9313358","2160740.60177"
"1755658800","HBARUSDT","0.23324","0.23405","0.23263","0.23298","12082814","2820008.25128","20792","5447009","1271374.38697"
"1755662400","HBARUSDT","0.23299","0.23519","0.2326","0.23353","16290859","3813534.54172","22251","8703201","2037946.74415"
"1755666000","HBARUSDT","0.23354","0.23545","0.23348","0.23487","13741737","3224536.75662","18668","7208057","1691479.91276"
"1755669600","HBARUSDT","0.23488","0.23537","0.23364","0.23531","12483080","2924764.73731","13561","5527249","1295285.06706"
"1755673200","HBARUSDT","0.23532","0.23546","0.23344","0.23456","8735544","2047200.967","14425","3913633","917258.92674"
"1755676800","HBARUSDT","0.23456","0.23544","0.23364","0.23378","10356261","2428572.50769","15562","4460633","1046077.867"
"1755680400","HBARUSDT","0.23378","0.23581","0.23358","0.23551","24200802","5686168.37379","24715","12214666","2870605.43028"
"1755684000","HBARUSDT","0.23553","0.23588","0.23344","0.23359","19285918","4527271.84009","20459","9674239","2271066.32506"
"1755687600","HBARUSDT","0.2336","0.235","0.23333","0.23441","12401583","2903643.52862","16845","5643726","1321421.41449"
"1755691200","HBARUSDT","0.23441","0.23484","0.23043","0.23353","22287295","5177692.62635","27516","9222455","2142088.2836"
"1755694800","HBARUSDT","0.23356","0.2356","0.23249","0.23385","21146142","4949015.31649","29136","10868933","2543978.73385"
"1755698400","HBARUSDT","0.23385","0.23436","0.23023","0.23092","41453731","9613195.46151","45219","21517217","4989919.74071"
"1755702000","HBARUSDT","0.23091","0.23501","0.22903","0.23305","66199131","15377684.99597","61552","30074921","6987119.66093"
"1755705600","HBARUSDT","0.23307","0.23798","0.23274","0.23553","48109558","11357816.24104","48389","24427493","5766672.98856"
"1755709200","HBARUSDT","0.23554","0.239","0.23548","0.23774","29746903","7068365.06157","32507","15243315","3622514.77307"
"1755712800","HBARUSDT","0.23774","0.24065","0.23765","0.2392","25622191","6122647.29287","27488","13107572","3132289.4534"
"1755716400","HBARUSDT","0.2392","0.23943","0.23565","0.23739","25084445","5948692.03825","31068","11412281","2707364.14365"
"1755720000","HBARUSDT","0.23739","0.24233","0.23721","0.2422","25226820","6062229.08912","28739","14605011","3509621.6107"
"1755723600","HBARUSDT","0.24219","0.24227","0.24077","0.24176","15996501","3864351.15305","21229","8580030","2073098.49229"
"1755727200","HBARUSDT","0.24175","0.24249","0.24029","0.24163","14381106","3473880.56407","18027","7796094","1883845.00973"
"1755730800","HBARUSDT","0.24163","0.24282","0.24118","0.24245","11200306","2710106.22296","20088","6773732","1638981.22791"
"1755734400","HBARUSDT","0.24243","0.24251","0.24105","0.24157","8319115","2010987.52252","14029","3745241","905402.75512"
