"ts","symbol","open","high","low","close","volume","quote_volume","trade_count","taker_buy_base","taker_buy_quote"
"1755651600","HYPERUSDT","0.3068","0.3219","0.3068","0.3141","16094283","5085472.5527","25288","8910793","2814737.897"
"1755655200","HYPERUSDT","0.3141","0.3193","0.3119","0.3189","3785502","1189659.9572","10581","2149900","675821.4804"
"1755658800","HYPERUSDT","0.3189","0.3257","0.3178","0.3248","8465593","2734240.7487","18701","4801573","1551141.2733"
"1755662400","HYPERUSDT","0.3248","0.329","0.3235","0.324","5959990","1945960.483","13855","3040942","993387.6492"
"1755666000","HYPERUSDT","0.324","0.3267","0.3202","0.3227","4785218","1545990.8363","11025","2199312","711077.6636"
"1755669600","HYPERUSDT","0.3227","0.324","0.322","0.3222","1476285","476615.8825","5901","616932","199207.2933"
"1755673200","HYPERUSDT","0.3222","0.3254","0.3217","0.3246","2264901","732420.3799","6100","1160849","375489.448"
"1755676800","HYPERUSDT","0.3247","0.3282","0.3224","0.323","2905966","944621.8326","6509","1227084","399303.2842"
"1755680400","HYPERUSDT","0.323","0.3341","0.3229","0.3333","7825133","2582087.0741","12973","4419421","1456947.2412"
"1755684000","HYPERUSDT","0.3332","0.3568","0.3299","0.3554","24363099","8398279.3226","42671","13931190","4803533.4796"
"1755687600","HYPERUSDT","0.3554","0.3639","0.3459","0.3527","72217372","25660871.2123","108774","35652281","12665624.567"
"1755691200","HYPERUSDT","0.3526","0.3558","0.3415","0.3427","30782593","10734963.3449","50211","14691111","5129676.5825"
"1755694800","HYPERUSDT","0.3428","0.3471","0.3398","0.3461","15463831","5321494.6256","34160","8045494","2770555.4449"
"1755698400","HYPERUSDT","0.3462","0.351","0.3411","0.3432","18067999","6249321.2862","36043","9260009","3204001.5"
"1755702000","HYPERUSDT","0.3432","0.3547","0.3395","0.3522","15073011","5223321.8877","32081","6969401","2415243.9036"
"1755705600","HYPERUSDT","0.3522","0.3724","0.3507","0.362","34154197","12454668.8447","54303","15868200","5786273.2753"
"1755709200","HYPERUSDT","0.3619","0.3717","0.3606","0.367","18728176","6839220.2187","34889","9261974","3383767.966"
"1755712800","HYPERUSDT","0.3669","0.3754","0.3648","0.3694","12728219","4704855.9965","28111","6352031","2348676.793"
"1755716400","HYPERUSDT","0.3694","0.372","0.3573","0.3616","16903660","6144990.967","30720","8271681","3008719.803"
"1755720000","HYPERUSDT","0.3616","0.3644","0.3591","0.3602","6276668","2270980.5473","14200","2628683","951449.4766"
"1755723600","HYPERUSDT","0.3602","0.3606","0.3548","0.3584","6423303","2297001.6435","12880","2658301","950775.4032"
"1755727200","HYPERUSDT","0.3585","0.3597","0.3512","0.3513","5163327","1831943.4984","12674","2074148","736561.6664"
"1755730800","HYPERUSDT","0.3514","0.3523","0.3491","0.3494","4509015","1580085.3423","9798","2324368","814838.402"
"1755734400","HYPERUSDT","0.3494","0.3536","0.3474","0.3513","4688417","1640988.8586","9803","2361163","827320.4562"
