"ts","symbol","open","high","low","close","volume","quote_volume","trade_count","taker_buy_base","taker_buy_quote"
"1755651600","HYPEUSDT","41.304","41.85","41.245","41.826","362596.38","15086603.1788","52915","167938.34","6988269.10386"
"1755655200","HYPEUSDT","41.826","41.983","41.276","41.705","274802.38","11431526.4702","44607","119592.13","4974237.7983"
"1755658800","HYPEUSDT","41.705","41.873","41.564","41.732","152845.26","6375479.79635","29565","75359.74","3143436.29515"
"1755662400","HYPEUSDT","41.729","42.22","41.508","41.513","365836.46","15324184.08195","45299","152745.96","6397919.42546"
"1755666000","HYPEUSDT","41.517","42.155","41.511","41.852","302636.52","12657584.10649","40954","145732.43","6093606.19008"
"1755669600","HYPEUSDT","41.852","41.861","41.506","41.853","108699.5","4530176.90383","22265","50803.21","2117931.81404"
"1755673200","HYPEUSDT","41.859","41.999","41.685","41.82","208309.9","8717809.38195","28688","105777.79","4427692.946"
"1755676800","HYPEUSDT","41.816","42.148","41.494","41.51","181796.43","7603870.96493","29190","85497.63","3578303.00079"
"1755680400","HYPEUSDT","41.51","42.314","41.487","42.268","329178.32","13785408.03349","39283","182183.75","7632209.86424"
"1755684000","HYPEUSDT","42.267","42.37","41.966","42.019","220236.29","9285332.48432","33431","102233.63","4309680.20727"
"1755687600","HYPEUSDT","42.019","42.25","41.909","41.976","172175.75","7242143.6165","32085","80962.49","3406287.04299"
"1755691200","HYPEUSDT","41.976","42.06","41.213","41.712","255902.03","10638231.66678","35697","111472.94","4634090.11431"
"1755694800","HYPEUSDT","41.71","42.169","41.554","42.112","287702.51","12053255.7289","42188","134066.82","5615636.16016"
"1755698400","HYPEUSDT","42.113","42.114","41.028","41.038","578733.94","24016217.39045","68356","277441.59","11513290.82786"
"1755702000","HYPEUSDT","41.037","42.022","40.596","41.646","907574.83","37415127.91097","90767","452498.84","18659076.29924"
"1755705600","HYPEUSDT","41.647","42.858","41.559","41.974","930580.44","39396691.85417","94987","406047.03","17196858.62697"
"1755709200","HYPEUSDT","41.974","42.517","41.769","41.847","345033.1","14540897.62844","45657","165222.3","6964072.1099"
"1755712800","HYPEUSDT","41.847","42.757","41.773","42.714","291640.84","12325656.70576","38952","150664.53","6366458.71774"
"1755716400","HYPEUSDT","42.716","42.737","41.846","41.908","408312.68","17236001.41261","47600","196440.99","8292001.52232"
"1755720000","HYPEUSDT","41.908","43.262","41.878","43.232","443793.7","18951962.62623","51392","217468.42","9288669.34573"
"1755723600","HYPEUSDT","43.231","43.246","42.575","43.038","491254.87","21104510.28075","44467","224510.76","9642520.9232"
"1755727200","HYPEUSDT","43.038","43.201","42.649","43.051","167952.48","7211526.83336","23440","83846.48","3600546.08542"
"1755730800","HYPEUSDT","43.051","43.275","42.771","43.218","160723.99","6917164.12328","26094","88289.69","3798667.55169"
"1755734400","HYPEUSDT","43.218","43.239","42.813","42.999","135301.77","5819671.43545","23181","65735.19","2828136.24968"
