"ts","symbol","open","high","low","close","volume","quote_volume","trade_count","taker_buy_base","taker_buy_quote"
"1755651600","INJUSDT","13.198","13.32","13.162","13.252","291109.8","3856975.9779","25094","144008.1","1908056.7363"
"1755655200","INJUSDT","13.252","13.377","13.146","13.325","346489.5","4596215.914","30635","177132.5","2349887.1875"
"1755658800","INJUSDT","13.325","13.393","13.262","13.276","258737.9","3447263.9582","21807","130482.1","1739147.2776"
"1755662400","INJUSDT","13.276","13.388","13.212","13.241","235195.2","3124109.1444","20237","111980.3","1487898.0898"
"1755666000","INJUSDT","13.241","13.424","13.236","13.359","391933.1","5237813.9593","21444","208395.6","2785496.3484"
"1755669600","INJUSDT","13.358","13.425","13.267","13.421","300880.1","4013513.6286","17763","138846.3","1852609.9745"
"1755673200","INJUSDT","13.42","13.458","13.314","13.385","204352","2736043.4568","18944","101186.5","1354851.9656"
"1755676800","INJUSDT","13.384","13.491","13.335","13.341","269243.3","3614735.46","18322","115470.4","1550224.9374"
"1755680400","INJUSDT","13.341","13.664","13.323","13.642","428469.3","5801426.8641","30145","216225.8","2926107.7767"
"1755684000","INJUSDT","13.642","13.667","13.517","13.532","251860.8","3423475.6512","22222","123309.7","1676358.9614"
"1755687600","INJUSDT","13.532","13.587","13.484","13.553","230657.9","3120898.1135","18015","114850","1554398.9958"
"1755691200","INJUSDT","13.553","13.577","13.257","13.451","384892.8","5153829.5395","26678","179507.1","2403800.601"
"1755694800","INJUSDT","13.451","13.604","13.362","13.423","347734.6","4679613.0517","30052","158220.7","2129473.0257"
"1755698400","INJUSDT","13.422","13.517","13.17","13.224","605505.2","8062558.5795","46709","287403.8","3827637.4746"
"1755702000","INJUSDT","13.223","13.615","13.116","13.491","785312.6","10483690.4622","56486","376031.8","5021492.0981"
"1755705600","INJUSDT","13.491","13.844","13.48","13.682","686101.3","9401106.3111","45768","339122","4643074.232"
"1755709200","INJUSDT","13.681","13.963","13.675","13.811","411467.5","5700057.5335","34863","209633.8","2904491.5548"
"1755712800","INJUSDT","13.81","14.002","13.768","13.937","374197.6","5189060.0046","28125","196002.6","2718897.9182"
"1755716400","INJUSDT","13.938","13.949","13.666","13.788","451136.7","6211901.4872","31708","204682.8","2817782.8617"
"1755720000","INJUSDT","13.789","14.095","13.784","14.081","386652.2","5406674.8149","29117","172526.4","2412490.603"
"1755723600","INJUSDT","14.08","14.16","14.021","14.129","280084.5","3944695.7871","22549","132822.3","1871192.7149"
"1755727200","INJUSDT","14.128","14.171","13.976","14.077","274283.7","3863671.5479","21000","125038.4","1760818.2769"
"1755730800","INJUSDT","14.078","14.121","14.011","14.09","144484.7","2032003.5836","16595","76432.3","1074597.7548"
"1755734400","INJUSDT","14.089","14.089","13.932","13.962","161176","2257773.1127","14248","66683.1","933602.9853"
