"ts","symbol","open","high","low","close","volume","quote_volume","trade_count","taker_buy_base","taker_buy_quote"
"1755651600","LDOUSDT","1.2749","1.2931","1.274","1.2859","4077177","5235756.8795","33201","2111812","2711778.2772"
"1755655200","LDOUSDT","1.286","1.2978","1.2698","1.2967","4797265","6158983.5448","31605","2340362","3004439.5669"
"1755658800","LDOUSDT","1.2968","1.3011","1.287","1.2897","4580549","5929342.063","26904","2074388","2686108.9049"
"1755662400","LDOUSDT","1.2896","1.3078","1.2838","1.2854","4276407","5532332.536","28482","2266631","2932843.3782"
"1755666000","LDOUSDT","1.2855","1.3024","1.284","1.2995","3941728","5100308.6114","24642","2200730","2847448.8909"
"1755669600","LDOUSDT","1.2996","1.3167","1.2977","1.3167","4416335","5776030.3896","24601","2051018","2683109.7883"
"1755673200","LDOUSDT","1.3165","1.322","1.3039","1.3114","4774677","6266458.8488","28758","2491457","3270053.7892"
"1755676800","LDOUSDT","1.3113","1.3179","1.3049","1.3075","2932330","3845437.4487","20675","1296171","1699707.5474"
"1755680400","LDOUSDT","1.3076","1.348","1.3069","1.3455","13294434","17750490.5042","55892","6509919","8689974.4206"
"1755684000","LDOUSDT","1.3454","1.36","1.3325","1.3489","8259751","11131549.8191","51585","4258721","5739077.8029"
"1755687600","LDOUSDT","1.3486","1.3583","1.3313","1.3491","5761708","7747498.485","35156","2738398","3682712.0742"
"1755691200","LDOUSDT","1.3491","1.3508","1.325","1.3348","7436601","9923117.4444","40566","3248483","4336006.6658"
"1755694800","LDOUSDT","1.3349","1.3522","1.322","1.3258","5755550","7683059.5283","36285","2677400","3573391.1223"
"1755698400","LDOUSDT","1.3259","1.3259","1.2914","1.2988","11127850","14543826.3073","63801","4856378","6349960.7918"
"1755702000","LDOUSDT","1.2987","1.3341","1.2814","1.3164","13878087","18124507.0181","68976","7137263","9331768.2741"
"1755705600","LDOUSDT","1.3163","1.353","1.3136","1.3256","11908952","15965806.8485","58664","5479430","7347797.3578"
"1755709200","LDOUSDT","1.3256","1.3485","1.3132","1.3173","8002975","10642966.2274","44294","4057641","5396869.8498"
"1755712800","LDOUSDT","1.3173","1.357","1.3168","1.3521","6260589","8388778.405","39119","3085595","4133865.9378"
"1755716400","LDOUSDT","1.3521","1.3554","1.3291","1.3372","6264089","8383130.0279","37884","2765315","3701185.8553"
"1755720000","LDOUSDT","1.3373","1.3505","1.3277","1.3399","7849875","10495295.9931","33418","4197123","5610297.9167"
"1755723600","LDOUSDT","1.3399","1.3444","1.3254","1.3344","4158835","5552044.532","25516","1793031","2392792.0958"
"1755727200","LDOUSDT","1.3344","1.3433","1.323","1.3272","3965515","5284981.1845","23568","2199703","2932213.4591"
"1755730800","LDOUSDT","1.3271","1.3352","1.3232","1.3308","2649909","3521199.9013","19782","1188418","1579928.1011"
"1755734400","LDOUSDT","1.3308","1.3318","1.3061","1.308","4012653","5285902.4585","21964","1754703","2310508.356"
