"ts","symbol","open","high","low","close","volume","quote_volume","trade_count","taker_buy_base","taker_buy_quote"
"1755651600","LINKUSDT","23.553","23.99","23.362","23.936","2132278.72","50464386.21584","80229","1044145.51","24716536.70098"
"1755655200","LINKUSDT","23.937","24.046","23.55","23.79","1950764.94","46407444.18767","70133","983856.27","23410911.90852"
"1755658800","LINKUSDT","23.789","23.855","23.573","23.621","1421314.04","33702542.44552","49908","759543.53","18011884.94959"
"1755662400","LINKUSDT","23.621","24.404","23.552","23.99","3115835.04","74960229.71857","88895","1612901.76","38785168.43847"
"1755666000","LINKUSDT","23.989","24.531","23.974","24.506","2493481.74","60649166.94842","83180","1345358.48","32714935.63377"
"1755669600","LINKUSDT","24.505","24.613","24.18","24.579","1983192.64","48416923.9427","66963","958695.21","23414454.58462"
"1755673200","LINKUSDT","24.579","24.684","24.329","24.51","1387530.44","33998375.01694","61063","702548.33","17215162.13379"
"1755676800","LINKUSDT","24.51","24.836","24.395","24.416","1782232.69","43928565.70824","66420","873978.76","21547489.54007"
"1755680400","LINKUSDT","24.417","25.211","24.336","25.083","3207298.71","79693742.3117","106302","1647278.91","40935416.87845"
"1755684000","LINKUSDT","25.082","25.23","24.872","24.88","2772223.88","69403156.69836","98063","1300701.47","32569869.52359"
"1755687600","LINKUSDT","24.881","25.156","24.774","25.109","1954606.3","48764606.29852","72386","1036293.11","25870572.95803"
"1755691200","LINKUSDT","25.109","25.197","24.46","24.949","3344731.59","82851330.44623","106941","1500793.25","37188803.5301"
"1755694800","LINKUSDT","24.949","25.372","24.824","25.308","3959921.32","99479336.06108","125008","1992861.78","50085751.90616"
"1755698400","LINKUSDT","25.309","25.344","24.574","24.675","4762501.74","118653601.47646","158506","2337535.59","58258412.5074"
"1755702000","LINKUSDT","24.676","25.783","24.592","25.423","6897339.85","174031842.42959","212993","3358401.1","84745304.02935"
"1755705600","LINKUSDT","25.424","26.459","25.36","25.942","7688560.67","200135983.42852","230423","3769082.59","98081672.0342"
"1755709200","LINKUSDT","25.942","26.359","25.441","25.46","5010169.18","129697176.1523","146322","2482317.73","64274423.08188"
"1755712800","LINKUSDT","25.46","26.073","25.445","25.932","2846095.68","73332215.33235","98991","1484457.31","38242112.48981"
"1755716400","LINKUSDT","25.933","25.949","25.446","25.728","2318917.17","59451333.74195","87999","1163147.21","29822125.42747"
"1755720000","LINKUSDT","25.726","26.193","25.72","26.145","2117234.82","55060953.60752","83501","1034202.39","26892092.09459"
"1755723600","LINKUSDT","26.143","26.44","26.021","26.239","2321088.82","60903884.46179","91025","1149743.03","30177176.10175"
"1755727200","LINKUSDT","26.239","26.641","26.045","26.52","2633377.56","69429161.59321","98897","1246044.37","32870781.94879"
"1755730800","LINKUSDT","26.519","26.698","26.369","26.639","1785556.85","47422685.36853","78053","867119.5","23035430.71797"
"1755734400","LINKUSDT","26.636","26.885","26.317","26.446","2823289.09","75036229.76844","107167","1433039.03","38096130.69062"
