"ts","symbol","open","high","low","close","volume","quote_volume","trade_count","taker_buy_base","taker_buy_quote"
"1755651600","LTCUSDT","112.6","114.01","112.57","113.58","124884.368","14179385.05191","27332","67890.997","7707127.21726"
"1755655200","LTCUSDT","113.57","113.92","112.37","113.76","107914.395","12210182.67104","27820","51165.145","5786653.70701"
"1755658800","LTCUSDT","113.76","114.43","113.56","113.72","95205.245","10853002.64824","22875","43583.111","4969032.81896"
"1755662400","LTCUSDT","113.73","114.32","113.37","113.6","80972.198","9215351.01023","18199","38847.215","4420912.9202"
"1755666000","LTCUSDT","113.61","114.52","113.58","114.07","65869.714","7520934.81791","14120","34920.593","3987211.82246"
"1755669600","LTCUSDT","114.07","114.25","113.57","114.17","43564.054","4961680.42743","12377","20758.216","2364578.20013"
"1755673200","LTCUSDT","114.17","114.33","113.56","114.04","37278.638","4249127.00527","12539","17828.162","2031909.32793"
"1755676800","LTCUSDT","114.04","114.6","113.8","113.86","72315.402","8261556.76974","16011","35736.59","4083942.77162"
"1755680400","LTCUSDT","113.87","115.32","113.76","115.23","134285.377","15419668.53505","25386","76189.451","8749101.13604"
"1755684000","LTCUSDT","115.24","115.4","114.46","114.53","134306.618","15445521.15854","24791","72663.519","8356830.91782"
"1755687600","LTCUSDT","114.52","115.19","114.31","115.11","74755.214","8579494.15004","18482","42501.751","4878432.12264"
"1755691200","LTCUSDT","115.11","115.2","113.37","114.69","139082.937","15879453.6362","24518","55945.815","6384808.69567"
"1755694800","LTCUSDT","114.69","115.47","114.27","114.99","141391.097","16243666.45803","25006","72295.593","8304569.7473"
"1755698400","LTCUSDT","115","115","112.75","113.04","210055.501","23898665.20345","44095","83131.802","9455882.0608"
"1755702000","LTCUSDT","113.04","114.86","112","114.01","391244.155","44276733.85014","72416","159313.003","18039052.85872"
"1755705600","LTCUSDT","114.01","115.98","113.86","114.89","244648.335","28209806.08614","44761","115659.143","13332477.98585"
"1755709200","LTCUSDT","114.89","116.53","114.89","115.6","176877.333","20504839.05783","31860","96599.352","11197965.95521"
"1755712800","LTCUSDT","115.6","116.58","115.45","116.22","118549.528","13752791.74379","23035","65375.703","7586787.78759"
"1755716400","LTCUSDT","116.23","116.34","114.36","115.29","171052.375","19678471.8185","26893","80088.477","9212123.16659"
"1755720000","LTCUSDT","115.3","117.03","115.24","116.98","89438.206","10410074.74524","20574","43316.841","5041266.14132"
"1755723600","LTCUSDT","116.98","117.05","116.56","116.7","61322.226","7162959.96147","16291","24218.902","2829162.05153"
"1755727200","LTCUSDT","116.7","116.87","116.04","116.58","71474.486","8327297.60144","15810","32101.349","3741652.7594"
"1755730800","LTCUSDT","116.58","116.87","116.08","116.6","61305.09","7137279.26544","16141","30163.399","3512303.64795"
"1755734400","LTCUSDT","116.59","116.59","115.87","116.01","42808.558","4972352.49896","12368","20316.509","2360091.96566"
