"ts","symbol","open","high","low","close","volume","quote_volume","trade_count","taker_buy_base","taker_buy_quote"
"1755651600","MEMEUSDT","0.002085","0.002101","0.002065","0.002075","1049775024","2189701.646299","12179","493393763","1029622.147165"
"1755655200","MEMEUSDT","0.002075","0.002136","0.002058","0.002136","1271045905","2655357.167275","15137","680517183","1422355.980896"
"1755658800","MEMEUSDT","0.002136","0.002178","0.002133","0.002145","2459676243","5299196.906023","24828","1176849650","2536328.905462"
"1755662400","MEMEUSDT","0.002146","0.002191","0.002133","0.002168","1866221513","4045513.310578","19903","979567290","2123985.762294"
"1755666000","MEMEUSDT","0.002168","0.002199","0.002166","0.002173","1574146019","3436154.938302","17828","787447896","1718989.094364"
"1755669600","MEMEUSDT","0.002173","0.002238","0.002168","0.002182","2569035969","5647455.366415","25163","1344066921","2955184.815374"
"1755673200","MEMEUSDT","0.002182","0.002214","0.002169","0.002182","2112976767","4629988.429066","19113","1110137454","2431936.03862"
"1755676800","MEMEUSDT","0.002182","0.002213","0.002175","0.00218","1483079244","3253675.204679","14244","789299460","1731931.593497"
"1755680400","MEMEUSDT","0.00218","0.002365","0.002175","0.002344","8270274754","18943824.655437","56622","4398653309","10074863.371675"
"1755684000","MEMEUSDT","0.002344","0.002398","0.002258","0.002304","10078713084","23452932.395103","73354","5036533527","11724879.989286"
"1755687600","MEMEUSDT","0.002303","0.002352","0.002288","0.002321","3725307956","8640243.873077","34335","1864726028","4326553.546765"
"1755691200","MEMEUSDT","0.002321","0.002357","0.002268","0.002284","3896066286","8972051.864962","33010","1741744861","4013105.154294"
"1755694800","MEMEUSDT","0.002284","0.002443","0.002284","0.002431","6953021367","16484492.265496","56917","3748648601","8890804.370394"
"1755698400","MEMEUSDT","0.00243","0.002464","0.002359","0.002439","8172097775","19693571.769353","67523","4222965557","10188435.637154"
"1755702000","MEMEUSDT","0.002439","0.002684","0.002398","0.002565","20932511944","53471464.831189","167835","10352415687","26449532.477001"
"1755705600","MEMEUSDT","0.002565","0.002677","0.002514","0.002621","15673650549","40641337.9704","137893","7771428631","20148121.2006"
"1755709200","MEMEUSDT","0.00262","0.002886","0.002616","0.002793","30697738337","84660092.888595","280347","15630405322","43099100.297621"
"1755712800","MEMEUSDT","0.002792","0.00299","0.00276","0.002947","22310829737","63655159.593908","200283","11216465159","32022896.982978"
"1755716400","MEMEUSDT","0.002946","0.002988","0.002773","0.002815","19101441921","54605223.084159","182758","9472862327","27080252.930039"
"1755720000","MEMEUSDT","0.002814","0.003026","0.00279","0.002948","16722585100","48905066.836282","152844","8538890895","24967522.31326"
"1755723600","MEMEUSDT","0.002948","0.003011","0.002876","0.002898","12864166589","37629586.099965","127446","6630325772","19401359.523517"
"1755727200","MEMEUSDT","0.002897","0.002926","0.002811","0.002828","9156977429","26231752.665177","99505","4425017169","12683543.353996"
"1755730800","MEMEUSDT","0.002828","0.002931","0.002819","0.002872","6741572175","19385609.084509","67922","3595244805","10341864.918491"
"1755734400","MEMEUSDT","0.002872","0.002884","0.002744","0.002768","7481183687","21045860.397432","71239","3486998142","9816880.786088"
