"ts","symbol","open","high","low","close","volume","quote_volume","trade_count","taker_buy_base","taker_buy_quote"
"1755651600","MUSDT","0.412","0.4239","0.4038","0.4198","14824669","6096727.6067","39094","7073044","2911255.7673"
"1755655200","MUSDT","0.4198","0.4339","0.4117","0.4262","18961263","8045267.7541","45083","9210131","3911391.7243"
"1755658800","MUSDT","0.4262","0.4279","0.4083","0.4139","6670653","2804951.1201","18607","3355061","1410153.0374"
"1755662400","MUSDT","0.4136","0.4273","0.4118","0.4251","6446367","2714295.1021","18297","3446307","1451140.1402"
"1755666000","MUSDT","0.4251","0.443","0.4207","0.4392","11372631","4928484.6505","31998","5665699","2454578.4446"
"1755669600","MUSDT","0.439","0.4429","0.4321","0.4366","8216350","3593430.8298","25756","3714106","1624930.1452"
"1755673200","MUSDT","0.4366","0.4394","0.4282","0.4308","6869756","2975541.6099","19371","3183489","1379743.6563"
"1755676800","MUSDT","0.4308","0.4384","0.4244","0.43","7302356","3155483.9863","22496","3384173","1462987.9247"
"1755680400","MUSDT","0.43","0.4413","0.4227","0.428","11374723","4900710.3514","35712","5243454","2259603.351"
"1755684000","MUSDT","0.4279","0.4295","0.4142","0.4191","7673369","3228217.2302","19406","3184124","1340705.4626"
"1755687600","MUSDT","0.419","0.4478","0.4126","0.4434","22057803","9578171.81","61284","11192002","4866860.5178"
"1755691200","MUSDT","0.4434","0.4669","0.4425","0.4544","47516726","21606268.3546","130241","22559163","10261734.434"
"1755694800","MUSDT","0.4545","0.4611","0.4471","0.4551","18591612","8449603.4687","54310","8997482","4091892.8098"
"1755698400","MUSDT","0.4551","0.4586","0.4485","0.4546","12368303","5613274.6542","35775","6182266","2806847.3553"
"1755702000","MUSDT","0.4544","0.4612","0.4466","0.4531","14301205","6481493.934","36527","7226752","3277391.4291"
"1755705600","MUSDT","0.453","0.4539","0.4394","0.4421","12122726","5414225.1193","34803","5978571","2671989.1221"
"1755709200","MUSDT","0.4421","0.4479","0.4357","0.441","8879250","3917835.3287","24582","4394407","1940933.7495"
"1755712800","MUSDT","0.4409","0.4505","0.4402","0.4436","5133612","2287737.6394","16140","2620066","1167798.9202"
"1755716400","MUSDT","0.4438","0.4503","0.4412","0.4492","3769386","1678844.7346","12010","2025764","902699.0607"
"1755720000","MUSDT","0.4491","0.4642","0.449","0.455","8142443","3714100.5053","23582","4251158","1939908.4929"
"1755723600","MUSDT","0.4548","0.4551","0.4435","0.4511","4853187","2177246.2966","16345","2104328","943845.8173"
"1755727200","MUSDT","0.4512","0.4517","0.4431","0.4466","2248508","1005436.8468","9228","1138230","509070.9871"
"1755730800","MUSDT","0.4465","0.453","0.4428","0.4485","2918943","1308569.7437","11342","1377484","617583.6699"
"1755734400","MUSDT","0.4486","0.4495","0.4417","0.4443","2029802","902945.5065","8841","977236","434653.2814"
