"ts","symbol","open","high","low","close","volume","quote_volume","trade_count","taker_buy_base","taker_buy_quote"
"1755651600","MYXUSDT","1.1099","1.1432","1.076","1.0788","11637507","12883216.65048","72265","5515766","6114944.93607"
"1755655200","MYXUSDT","1.079","1.1049","1.0457","1.0837","15579818","16745009.75722","98025","7716768","8303379.40972"
"1755658800","MYXUSDT","1.0836","1.0965","1.0459","1.0582","10963069","11712838.4442","81863","5636082","6021786.0859"
"1755662400","MYXUSDT","1.0582","1.08733","1.0333","1.0646","15114836","15954421.85041","101218","7751647","8185044.78809"
"1755666000","MYXUSDT","1.0647","1.1142","1.0554","1.1014","11122044","12056661.72251","80917","6153319","6678830.23296"
"1755669600","MYXUSDT","1.1013","1.106","1.0674","1.0835","9160910","9928031.24347","65860","4380438","4749708.32665"
"1755673200","MYXUSDT","1.0834","1.0986","1.0697","1.0713","7107935","7687448.45411","55686","3550729","3840675.14749"
"1755676800","MYXUSDT","1.0714","1.0781","1.0536","1.0597","8200498","8734430.51534","59468","3993068","4254406.24468"
"1755680400","MYXUSDT","1.0595","1.0931","1.0476","1.0691","12499729","13357491.24204","80984","6553346","7000207.82424"
"1755684000","MYXUSDT","1.0691","1.0806","1.0412","1.0716","14199084","15059891.68049","79299","7991965","8476329.80333"
"1755687600","MYXUSDT","1.0716","1.085","1.0614","1.0766","7253905","7782852.49154","55217","3779732","4056557.86722"
"1755691200","MYXUSDT","1.0764","1.0859","1.0569","1.0784","7836536","8407182.20366","56553","3949348","4237621.83733"
"1755694800","MYXUSDT","1.0784","1.0981","1.0518","1.0587","12062653","12924982.89846","75206","6388432","6844983.89793"
"1755698400","MYXUSDT","1.0588","1.0807","1.043","1.0643","13270342","14105758.79677","78378","6558706","6972748.75592"
"1755702000","MYXUSDT","1.0642","1.0885","1.05","1.0769","9929371","10630787.12272","61706","5102719","5466974.864"
"1755705600","MYXUSDT","1.0769","1.1688","1.0715","1.0924","27459457","30813778.15682","175724","14287229","16039421.68997"
"1755709200","MYXUSDT","1.0922","1.0957","0.9868","1.0534","32456509","34255118.77634","202849","15190133","16060588.46654"
"1755712800","MYXUSDT","1.0535","1.0656","1.0212","1.0402","14458908","15047221.98926","92708","7198979","7498292.82895"
"1755716400","MYXUSDT","1.0402","1.0604","1.0202","1.0563","8507440","8842627.2508","59582","4300529","4471922.67714"
"1755720000","MYXUSDT","1.0563","1.0783","1.0528","1.0703","6642769","7067215.47945","50589","3331732","3545988.80569"
"1755723600","MYXUSDT","1.0697","1.0784","1.0577","1.0675","3805822","4062477.73158","34455","1781568","1902038.75165"
"1755727200","MYXUSDT","1.0676","1.1","1.0583","1.093","4979172","5361305.61545","41022","2707475","2918249.31832"
"1755730800","MYXUSDT","1.093","1.0946","1.0546","1.0841","6032892","6470538.31397","41860","2733702","2932880.60339"
"1755734400","MYXUSDT","1.0841","1.0949","1.0564","1.0567","5301966","5698567.47507","34022","2428895","2609172.30454"
