"ts","symbol","open","high","low","close","volume","quote_volume","trade_count","taker_buy_base","taker_buy_quote"
"1755651600","NEARUSDT","2.422","2.446","2.421","2.438","1812618","4415856.938","11788","917519","2235537.083"
"1755655200","NEARUSDT","2.438","2.452","2.412","2.444","2927417","7125645.663","14302","1506426","3667739.428"
"1755658800","NEARUSDT","2.445","2.454","2.434","2.436","1754683","4287054.967","10850","857954","2096249.805"
"1755662400","NEARUSDT","2.436","2.459","2.428","2.443","1099873","2685728.043","8589","667412","1629526.586"
"1755666000","NEARUSDT","2.443","2.465","2.442","2.455","1365616","3356426.664","8286","774369","1903158.104"
"1755669600","NEARUSDT","2.455","2.457","2.443","2.455","1156741","2834797.482","8200","548907","1345173.523"
"1755673200","NEARUSDT","2.454","2.457","2.434","2.447","3949795","9649713.149","14208","2150432","5253439.361"
"1755676800","NEARUSDT","2.447","2.459","2.444","2.447","1489227","3651724.914","9250","769126","1885854.201"
"1755680400","NEARUSDT","2.447","2.484","2.443","2.482","1985813","4900310.551","12435","1014089","2503120.76"
"1755684000","NEARUSDT","2.482","2.483","2.467","2.47","1418724","3509212.779","9807","690859","1709216.061"
"1755687600","NEARUSDT","2.47","2.485","2.469","2.479","1010903","2504359.15","8364","468000","1159226.181"
"1755691200","NEARUSDT","2.479","2.482","2.429","2.461","2450105","6003741.245","12559","1205255","2953019.887"
"1755694800","NEARUSDT","2.462","2.484","2.455","2.47","1936931","4783104.146","14133","922215","2277355.477"
"1755698400","NEARUSDT","2.469","2.477","2.421","2.432","4155216","10169830.154","19409","2187914","5356284.78"
"1755702000","NEARUSDT","2.432","2.494","2.411","2.474","5193194","12739349.604","22833","2680884","6577456.784"
"1755705600","NEARUSDT","2.474","2.526","2.471","2.498","4262490","10688290.289","20736","2232295","5596034.261"
"1755709200","NEARUSDT","2.498","2.544","2.497","2.521","2852480","7203250.37","15116","1450401","3661649.09"
"1755712800","NEARUSDT","2.521","2.552","2.515","2.538","2739694","6940211.134","12372","1500895","3802167.147"
"1755716400","NEARUSDT","2.539","2.542","2.49","2.511","2373413","5953236.453","12965","1052583","2640031.655"
"1755720000","NEARUSDT","2.512","2.558","2.509","2.556","1762402","4479656.369","11452","865861","2200624.499"
"1755723600","NEARUSDT","2.556","2.563","2.547","2.556","2173230","5551272.273","10541","967188","2470756.184"
"1755727200","NEARUSDT","2.556","2.562","2.536","2.55","1250477","3188269.992","8767","551461","1406940.602"
"1755730800","NEARUSDT","2.55","2.56","2.544","2.551","1122529","2863069.531","9043","549149","1400724.339"
"1755734400","NEARUSDT","2.55","2.552","2.538","2.546","820193","2086242.501","5689","348421","886569.306"
