"ts","symbol","open","high","low","close","volume","quote_volume","trade_count","taker_buy_base","taker_buy_quote"
"1755651600","OGNUSDT","0.0701","0.0738","0.0692","0.0723","115217455","8273360.4291","30285","60877005","4374974.186"
"1755655200","OGNUSDT","0.0724","0.0733","0.0688","0.0707","100869294","7109837.7867","25180","50267649","3545494.3032"
"1755658800","OGNUSDT","0.0707","0.0717","0.0698","0.0712","39921095","2825194.9968","11801","18562988","1314910.6476"
"1755662400","OGNUSDT","0.0712","0.073","0.0707","0.0708","50756715","3654977.1068","15445","26181324","1886719.4788"
"1755666000","OGNUSDT","0.0708","0.0715","0.07","0.0703","35575405","2515971.0616","11016","18296505","1294665.5606"
"1755669600","OGNUSDT","0.0704","0.071","0.0694","0.0708","34112429","2390990.6819","10699","16786449","1177876.8174"
"1755673200","OGNUSDT","0.0707","0.0752","0.0701","0.0747","84152628","6134949.6828","21055","45632149","3327850.9683"
"1755676800","OGNUSDT","0.0747","0.0776","0.0744","0.076","235164235","17871643.4902","53242","117856110","8962855.5277"
"1755680400","OGNUSDT","0.0759","0.0871","0.0759","0.0822","681724584","56871552.4572","154953","342850490","28599424.4749"
"1755684000","OGNUSDT","0.0822","0.0865","0.0806","0.0824","362397882","30149639.5545","72591","181996881","15152406.6924"
"1755687600","OGNUSDT","0.0823","0.0829","0.0791","0.0799","212052742","17187551.8914","45036","102026935","8277008.567"
"1755691200","OGNUSDT","0.0798","0.0816","0.0773","0.078","215704477","17119384.7922","40075","102746978","8164359.9511"
"1755694800","OGNUSDT","0.078","0.0828","0.0775","0.0808","268494197","21666866.432","53735","146348649","11810900.2168"
"1755698400","OGNUSDT","0.0809","0.0845","0.0802","0.081","308880865","25434057.0586","66684","152616595","12574180.5219"
"1755702000","OGNUSDT","0.0809","0.0848","0.0798","0.0827","239477005","19743772.6134","62663","119808185","9883700.5393"
"1755705600","OGNUSDT","0.0828","0.0864","0.0822","0.0837","250793899","21106537.4807","62976","129585057","10911328.3312"
"1755709200","OGNUSDT","0.0837","0.0846","0.0809","0.0811","174944278","14462226.6836","51959","83840041","6936578.5106"
"1755712800","OGNUSDT","0.0811","0.0825","0.0803","0.0806","90528177","7360695.843","28012","47532197","3866522.7085"
"1755716400","OGNUSDT","0.0807","0.0815","0.0796","0.0808","76255325","6145632.1858","23792","35550151","2866963.4664"
"1755720000","OGNUSDT","0.0809","0.0814","0.0796","0.0798","53597247","4311204.9827","18520","26953072","2168432.2493"
"1755723600","OGNUSDT","0.0799","0.081","0.0782","0.0803","75380716","5979647.9926","21674","35142805","2791746.3879"
"1755727200","OGNUSDT","0.0804","0.0806","0.0781","0.0786","40760121","3215827.2112","17513","17000933","1342216.0725"
"1755730800","OGNUSDT","0.0787","0.0787","0.0775","0.0783","40022262","3126839.9579","16756","18353652","1434436.1131"
"1755734400","OGNUSDT","0.0783","0.0783","0.0762","0.0773","53801232","4137500.6312","20340","23300809","1792609.4634"
