"ts","symbol","open","high","low","close","volume","quote_volume","trade_count","taker_buy_base","taker_buy_quote"
"1755651600","OPUSDT","0.6872","0.6952","0.6869","0.6891","9628990.5","6653606.21169","19096","5046967.6","3486216.3816"
"1755655200","OPUSDT","0.689","0.6945","0.6822","0.6931","10025567.5","6895817.9038","23730","4948937","3404818.88569"
"1755658800","OPUSDT","0.6932","0.6969","0.6912","0.6941","4641644.2","3223272.39553","13343","2519096.2","1749375.70418"
"1755662400","OPUSDT","0.6941","0.7015","0.6922","0.6972","5346387.5","3727857.28421","13867","3007221.8","2096582.04821"
"1755666000","OPUSDT","0.6972","0.7067","0.6971","0.7049","7529636.4","5291136.70933","14384","3836402.6","2695112.81451"
"1755669600","OPUSDT","0.705","0.717","0.7037","0.7168","8327292.4","5909132.59097","15284","4233749.3","3005312.58926"
"1755673200","OPUSDT","0.7168","0.7197","0.7034","0.7088","19649573.4","13974206.17234","29659","8985101.2","6383717.37291"
"1755676800","OPUSDT","0.7089","0.7114","0.7048","0.706","4690737.6","3321913.50403","12710","2031512","1438681.81119"
"1755680400","OPUSDT","0.7061","0.716","0.7049","0.7152","9481322.9","6743376.65578","17868","4882915.7","3473098.71413"
"1755684000","OPUSDT","0.715","0.715","0.708","0.7091","4808186.4","3421405.08617","12734","2113552.3","1504578.52101"
"1755687600","OPUSDT","0.709","0.7138","0.7082","0.712","3603282.7","2560447.16812","10074","1859802.5","1321787.2868"
"1755691200","OPUSDT","0.712","0.7129","0.6978","0.7083","10403632.5","7325641.99047","18875","3943416","2776186.74675"
"1755694800","OPUSDT","0.7083","0.7155","0.7028","0.7066","9865062.3","6982752.13432","20926","4646156.6","3289570.38802"
"1755698400","OPUSDT","0.7067","0.7084","0.6926","0.6957","12481812.8","8739154.9631","27803","5405403.5","3786328.69949"
"1755702000","OPUSDT","0.6958","0.715","0.6886","0.7088","19164387.4","13453067.01521","36703","10190627.6","7158408.82051"
"1755705600","OPUSDT","0.7088","0.7232","0.7078","0.7172","15607823","11222305.23738","30964","7923094.6","5696907.95065"
"1755709200","OPUSDT","0.717","0.7294","0.717","0.7226","10178086.7","7371958.25832","23423","4827406.6","3496581.43155"
"1755712800","OPUSDT","0.7226","0.7314","0.7223","0.7277","7504149.1","5449944.46817","18911","3802917.7","2762278.77353"
"1755716400","OPUSDT","0.7278","0.7282","0.7143","0.7208","14560148.5","10460909.64293","22816","5305136.4","3814016.40648"
"1755720000","OPUSDT","0.7208","0.7298","0.72","0.7293","6127583","4448567.37144","15460","3173058.7","2303277.08945"
"1755723600","OPUSDT","0.7293","0.73","0.7253","0.7276","4870862.2","3544528.01443","16882","2340227.3","1703291.60594"
"1755727200","OPUSDT","0.7275","0.7304","0.7242","0.7277","4854675.9","3532161.19761","11425","2154830.3","1568250.85401"
"1755730800","OPUSDT","0.7277","0.7305","0.7259","0.7281","3243722.5","2361100.71643","10082","1732578","1261419.86104"
"1755734400","OPUSDT","0.728","0.728","0.724","0.7259","2993478.3","2172955.3387","9229","1332140.7","967079.33227"
