"ts","symbol","open","high","low","close","volume","quote_volume","trade_count","taker_buy_base","taker_buy_quote"
"1755651600","PENGUUSDT","0.02954","0.03008","0.02954","0.029682","622865181","18578413.391609","66013","330492048","9858252.203971"
"1755655200","PENGUUSDT","0.029676","0.029882","0.028934","0.029517","874021489","25649178.89318","86247","415334700","12192133.625395"
"1755658800","PENGUUSDT","0.029514","0.029831","0.02941","0.029723","381077182","11303098.943612","51764","193616983","5743185.461965"
"1755662400","PENGUUSDT","0.029723","0.030113","0.029494","0.029761","335841911","10008209.13785","40563","179778626","5356531.899719"
"1755666000","PENGUUSDT","0.029761","0.030337","0.029738","0.03007","381875186","11502549.314473","45871","202771146","6107454.304476"
"1755669600","PENGUUSDT","0.03007","0.030448","0.029813","0.030398","406506842","12234523.980454","36301","256446575","7718961.860612"
"1755673200","PENGUUSDT","0.030397","0.030423","0.030042","0.030107","354220032","10695168.083023","34178","180137342","5440712.896845"
"1755676800","PENGUUSDT","0.030107","0.030352","0.029921","0.029946","212371177","6399470.81259","33834","102722279","3095703.682386"
"1755680400","PENGUUSDT","0.029947","0.030367","0.02985","0.030307","434534415","13116897.495068","45036","225362912","6800847.894916"
"1755684000","PENGUUSDT","0.03031","0.030323","0.029927","0.030068","300118967","9041074.389474","36350","161430722","4862544.668596"
"1755687600","PENGUUSDT","0.030068","0.030203","0.02995","0.030043","173359843","5212576.746256","24810","79313460","2384863.635745"
"1755691200","PENGUUSDT","0.030043","0.030096","0.029322","0.029773","527759751","15645288.416541","50075","233888090","6933419.015739"
"1755694800","PENGUUSDT","0.029773","0.030195","0.029637","0.029716","373781832","11171077.209473","49424","171794709","5132696.032214"
"1755698400","PENGUUSDT","0.029716","0.029799","0.028956","0.028971","838964692","24598028.061016","94520","425042391","12467402.122765"
"1755702000","PENGUUSDT","0.028971","0.029973","0.028608","0.029733","1189278470","34767231.384371","128945","567518525","16589758.286701"
"1755705600","PENGUUSDT","0.029733","0.030812","0.029711","0.03009","909315319","27661255.120268","113090","416364055","12663325.771966"
"1755709200","PENGUUSDT","0.030088","0.030765","0.030075","0.030424","444359768","13540338.863209","63361","230063561","7006622.808814"
"1755712800","PENGUUSDT","0.030424","0.031293","0.030405","0.031112","512400273","15826609.030311","70276","281809108","8705248.772729"
"1755716400","PENGUUSDT","0.031111","0.031153","0.030156","0.030585","596083348","18196174.554628","74576","301251867","9194789.607074"
"1755720000","PENGUUSDT","0.030586","0.031711","0.030539","0.031682","527201539","16484956.340965","75858","271651855","8497752.758415"
"1755723600","PENGUUSDT","0.031682","0.031855","0.031423","0.031606","342556420","10825008.989916","50101","179147832","5662170.326724"
"1755727200","PENGUUSDT","0.031605","0.032249","0.0316","0.032004","645075830","20582836.63182","79552","316934103","10112544.483937"
"1755730800","PENGUUSDT","0.032008","0.032249","0.031822","0.032111","297990898","9554457.418303","56827","162789992","5220311.512537"
"1755734400","PENGUUSDT","0.032112","0.032237","0.031791","0.032076","387484034","12395990.433228","50884","179455092","5741605.37539"
