"ts","symbol","open","high","low","close","volume","quote_volume","trade_count","taker_buy_base","taker_buy_quote"
"1755651600","PROVEUSDT","1.1439","1.1625","1.1425","1.1485","4950342.9","5699386.6026","35160","2519808.3","2901563.87318"
"1755655200","PROVEUSDT","1.1485","1.1747","1.1455","1.1679","6859567.9","7961081.69892","43656","3383578.1","3924478.98931"
"1755658800","PROVEUSDT","1.1678","1.1762","1.1608","1.1642","3272101.9","3819865.86252","28966","1730501.6","2020432.58463"
"1755662400","PROVEUSDT","1.1642","1.1656","1.1487","1.156","2808011.7","3247809.17313","21277","1432868.2","1656975.6212"
"1755666000","PROVEUSDT","1.1561","1.1628","1.1523","1.1562","2603109.3","3013847.87877","18030","1175298.2","1360730.97569"
"1755669600","PROVEUSDT","1.1562","1.1576","1.1468","1.1539","2517129.3","2897076.12922","18936","1166564.4","1342562.90228"
"1755673200","PROVEUSDT","1.1538","1.1755","1.1382","1.1595","7048045.1","8142218.09779","32766","3143124.8","3629463.99878"
"1755676800","PROVEUSDT","1.1595","1.1671","1.1456","1.1484","3837256.1","4433523.68819","28529","2088545.8","2412156.20573"
"1755680400","PROVEUSDT","1.1484","1.1593","1.1447","1.1555","3257284.1","3749914.19377","22144","1600112.8","1841834.64611"
"1755684000","PROVEUSDT","1.1556","1.1581","1.1463","1.1514","2301863.8","2651627.41987","18132","1185411.1","1365322.04109"
"1755687600","PROVEUSDT","1.1513","1.1675","1.1453","1.1616","3291821.9","3807136.45829","22559","1564891.9","1809151.23935"
"1755691200","PROVEUSDT","1.1616","1.1645","1.1326","1.1537","7140139.8","8182032.77474","36480","3617309","4143687.01077"
"1755694800","PROVEUSDT","1.1538","1.1731","1.1459","1.1573","6158844.7","7144592.27733","37591","3118974.4","3613615.20258"
"1755698400","PROVEUSDT","1.1572","1.1583","1.1317","1.1331","6443303.6","7354267.99445","35558","3590787.4","4097896.21273"
"1755702000","PROVEUSDT","1.1328","1.1642","1.1231","1.1595","10247023.4","11745613.67188","47857","4658320.4","5344707.65236"
"1755705600","PROVEUSDT","1.1596","1.185","1.1583","1.1644","7725439","9060980.32495","39236","4101215.1","4808347.8265"
"1755709200","PROVEUSDT","1.1646","1.1726","1.1533","1.1591","5211182.8","6062649.74659","28199","2427478.6","2823496.7519"
"1755712800","PROVEUSDT","1.159","1.1769","1.1545","1.1718","3301613.2","3847759.02689","23464","1670495.6","1946708.3243"
"1755716400","PROVEUSDT","1.1717","1.1736","1.1484","1.1659","3597075.2","4172804.88944","26707","1981181.2","2298318.58932"
"1755720000","PROVEUSDT","1.1658","1.1784","1.1645","1.177","3733139.2","4375792.95834","28337","1823643.2","2138282.39697"
"1755723600","PROVEUSDT","1.177","1.1787","1.1673","1.1728","2325967.6","2729022.54852","19391","1156216.4","1356360.42303"
"1755727200","PROVEUSDT","1.1725","1.1762","1.1658","1.1701","1707239.6","1999779.21089","16876","826213.4","967943.83944"
"1755730800","PROVEUSDT","1.17","1.1838","1.1622","1.1806","2780097.6","3259896.36368","24761","1562862.1","1833454.47521"
"1755734400","PROVEUSDT","1.1806","1.1822","1.1754","1.1768","2640990.6","3112607.06225","21502","1536095.1","1810537.91237"
