"ts","symbol","open","high","low","close","volume","quote_volume","trade_count","taker_buy_base","taker_buy_quote"
"1755651600","PUMPUSDT","0.002818","0.002882","0.002815","0.002832","3123788512","8910397.227603","26199","1766365323","5040848.416364"
"1755655200","PUMPUSDT","0.002831","0.002857","0.002789","0.002846","3221002811","9097168.64057","23723","1725871331","4878024.017917"
"1755658800","PUMPUSDT","0.002846","0.00287","0.002835","0.002853","1601568096","4572079.58469","17295","900689169","2571742.345345"
"1755662400","PUMPUSDT","0.002853","0.002944","0.002834","0.002888","5505301081","15966002.777297","34176","3325412954","9644964.706447"
"1755666000","PUMPUSDT","0.002889","0.00298","0.002884","0.002976","3679839053","10789620.007135","29638","2416898583","7087703.706398"
"1755669600","PUMPUSDT","0.002976","0.003029","0.002952","0.00302","5010091388","14999675.815997","36852","2893804932","8664595.719163"
"1755673200","PUMPUSDT","0.00302","0.003039","0.002982","0.003024","4090894118","12310757.988335","33960","2092337845","6298727.727619"
"1755676800","PUMPUSDT","0.003024","0.003072","0.003013","0.003033","4136229015","12578156.194103","32568","2097052007","6380791.10856"
"1755680400","PUMPUSDT","0.003034","0.003063","0.002989","0.003058","3598409240","10868562.3239","30388","1776721765","5372155.342905"
"1755684000","PUMPUSDT","0.003058","0.003069","0.003029","0.003048","2387884016","7278207.870946","24105","1095419454","3340050.837476"
"1755687600","PUMPUSDT","0.003047","0.003051","0.003011","0.003019","1950359829","5900429.536457","20596","862925226","2610908.961025"
"1755691200","PUMPUSDT","0.003019","0.003047","0.00296","0.002994","4754131793","14241027.800972","36720","2357364797","7068197.425066"
"1755694800","PUMPUSDT","0.002993","0.003005","0.002965","0.002979","3459771010","10321399.924337","29064","1690805572","5045191.963671"
"1755698400","PUMPUSDT","0.002978","0.003006","0.002923","0.002932","6353821312","18773992.119548","41041","3080841660","9108775.23782"
"1755702000","PUMPUSDT","0.002932","0.003045","0.00291","0.003002","5966957095","17803200.465828","43616","3096784967","9249139.587769"
"1755705600","PUMPUSDT","0.003002","0.003141","0.002998","0.003036","9582883655","29493342.67369","56327","5299912991","16304989.522027"
"1755709200","PUMPUSDT","0.003036","0.00309","0.00301","0.003077","5828990480","17808423.377604","40365","3222051044","9858247.51088"
"1755712800","PUMPUSDT","0.003076","0.003087","0.003021","0.003037","3246037893","9894992.019906","27519","1560846248","4760155.817321"
"1755716400","PUMPUSDT","0.003037","0.003044","0.002994","0.00303","4272878493","12885816.8149","28628","2253861797","6799874.80517"
"1755720000","PUMPUSDT","0.003029","0.003183","0.003024","0.003167","6934329737","21551462.340086","43028","3671518999","11422099.178755"
"1755723600","PUMPUSDT","0.003167","0.003232","0.003113","0.003211","5985137951","18924445.73258","41366","3084685014","9763307.339482"
"1755727200","PUMPUSDT","0.00321","0.00322","0.003128","0.003179","4946946026","15708881.45765","38522","2594995554","8239604.512348"
"1755730800","PUMPUSDT","0.003179","0.003241","0.003162","0.003187","4573071566","14625800.462568","38648","2149211707","6875895.847211"
"1755734400","PUMPUSDT","0.003187","0.003194","0.003133","0.003135","3025033292","9555370.559173","26625","1447772871","4574717.509894"
