"ts","symbol","open","high","low","close","volume","quote_volume","trade_count","taker_buy_base","taker_buy_quote"
"1755651600","SEIUSDT","0.2985","0.3013","0.2979","0.2999","14097386","4225881.9851","15352","7284067","2184123.0106"
"1755655200","SEIUSDT","0.2998","0.3013","0.2956","0.2995","22734779","6774964.1048","18307","9738177","2903365.1504"
"1755658800","SEIUSDT","0.2996","0.3011","0.2985","0.2998","12867655","3860254.9092","10815","7261075","2178368.0804"
"1755662400","SEIUSDT","0.2998","0.3033","0.2983","0.3004","14278569","4296657.7444","11430","6965898","2097053.3282"
"1755666000","SEIUSDT","0.3005","0.3027","0.3004","0.3013","9493878","2864230.1747","10014","5256715","1586184.6174"
"1755669600","SEIUSDT","0.3014","0.3023","0.2994","0.3021","6481957","1949884.3757","8347","3457358","1040028.0103"
"1755673200","SEIUSDT","0.3021","0.3024","0.2994","0.3003","8996017","2704959.4925","8332","4368857","1313884.3643"
"1755676800","SEIUSDT","0.3004","0.3019","0.2985","0.2987","10071956","3025595.9024","9760","4551799","1368093.8683"
"1755680400","SEIUSDT","0.2987","0.3035","0.2987","0.3032","18202284","5488088.5527","12183","9687830","2922432.5856"
"1755684000","SEIUSDT","0.3031","0.3033","0.3003","0.3004","12376899","3734918.902","9672","5365692","1619011.2717"
"1755687600","SEIUSDT","0.3004","0.3022","0.2987","0.3011","16925371","5086246.1722","11319","9635641","2897164.6606"
"1755691200","SEIUSDT","0.3011","0.3014","0.2942","0.2982","20537739","6095529.8992","15624","7725989","2294078.8305"
"1755694800","SEIUSDT","0.2983","0.3012","0.2966","0.2971","22016813","6578751.9901","19140","9239490","2760904.8179"
"1755698400","SEIUSDT","0.2972","0.2984","0.2907","0.2917","36745963","10808836.6439","26331","16309036","4798643.3188"
"1755702000","SEIUSDT","0.2916","0.2988","0.2882","0.2961","52816426","15484363.3121","29299","24553354","7206643.7401"
"1755705600","SEIUSDT","0.2962","0.3055","0.2957","0.3019","37977675","11492004.8447","25288","20114839","6082796.2931"
"1755709200","SEIUSDT","0.3019","0.3091","0.3019","0.3052","42919301","13140852.2876","21176","20713202","6343298.552"
"1755712800","SEIUSDT","0.3052","0.31","0.3049","0.3073","15620416","4797947.3445","15040","7780906","2390194.7026"
"1755716400","SEIUSDT","0.3073","0.3078","0.3007","0.3029","22756393","6900888.8835","16012","9828004","2979956.1395"
"1755720000","SEIUSDT","0.3029","0.3083","0.3024","0.3077","15089116","4613776.7629","14328","7022957","2148759.9516"
"1755723600","SEIUSDT","0.3078","0.3084","0.3061","0.3075","11996346","3686135.5899","11086","5917686","1818609.1877"
"1755727200","SEIUSDT","0.3076","0.3081","0.3044","0.3064","12255696","3752467.2557","9812","5481650","1678817.0865"
"1755730800","SEIUSDT","0.3064","0.3089","0.3059","0.3084","9344492","2874088.8535","9206","5049774","1553512.4524"
"1755734400","SEIUSDT","0.3084","0.3086","0.3064","0.3071","8246693","2535116.0691","8162","4395829","1351405.3345"
