"ts","symbol","open","high","low","close","volume","quote_volume","trade_count","taker_buy_base","taker_buy_quote"
"1755651600","SOLUSDT","176.12","178.52","175.92","178.06","1135919.16","201327261.04522","123720","630803.14","111773384.32232"
"1755655200","SOLUSDT","178.06","179.72","176.89","179.46","1342284.14","239322984.27708","150668","703515.37","125488832.45802"
"1755658800","SOLUSDT","179.46","181.29","179.1","180.71","1145506.45","206729954.55949","137091","646536.36","116665253.88339"
"1755662400","SOLUSDT","180.71","181.4","180","180.42","663014.53","119763346.3811","98567","324341.87","58598304.7074"
"1755666000","SOLUSDT","180.42","181.72","180.27","180.53","687953.59","124483414.1583","83022","370938.59","67121421.5687"
"1755669600","SOLUSDT","180.54","181.08","179.75","181.01","556727.96","100395832.58686","69269","274740.85","49548134.3383"
"1755673200","SOLUSDT","181","181.23","180.08","180.93","434043.35","78437059.0851","65021","205694.7","37172158.5316"
"1755676800","SOLUSDT","180.94","181.58","180.24","180.45","529505.77","95832808.9023","77534","256915.03","46504869.3329"
"1755680400","SOLUSDT","180.46","182.23","180.18","181.96","908223.31","164664094.1366","104815","490177.49","88865922.2852"
"1755684000","SOLUSDT","181.97","182.16","180.79","180.85","744592.35","135199261.2382","97258","336433.99","61093712.2087"
"1755687600","SOLUSDT","180.85","181.66","180.72","180.92","410728.34","74368774.3834","61308","180664.83","32713273.0237"
"1755691200","SOLUSDT","180.93","181.25","178.25","180.21","1433012.17","257273275.32757","134539","594232.88","106676489.59066"
"1755694800","SOLUSDT","180.2","182.25","180.1","181.82","1201804.17","217781155.79876","149952","609514.53","110464074.0448"
"1755698400","SOLUSDT","181.82","181.82","178.6","178.71","1942402.53","349882895.75757","257559","901046.76","162338666.3296"
"1755702000","SOLUSDT","178.71","182.48","177.44","181.29","2963479.68","533417552.7948","320680","1451305.76","261379448.05524"
"1755705600","SOLUSDT","181.29","185","181.09","182.95","2600760.07","477610628.25555","273960","1331175.17","244401117.18637"
"1755709200","SOLUSDT","182.94","184.78","182.9","183.71","1432934.36","263587291.01204","169713","690563.56","127043092.61594"
"1755712800","SOLUSDT","183.71","186.3","183.54","185.08","1647981.8","304666741.80698","176598","980724.89","181399937.15968"
"1755716400","SOLUSDT","185.08","185.58","182.5","183.55","1723115.09","316634869.96922","182720","805633.73","148045502.2557"
"1755720000","SOLUSDT","183.56","187.9","183.41","187.53","1574419.89","292596092.81647","163771","922755.17","171499110.79207"
"1755723600","SOLUSDT","187.52","187.85","186.26","187.18","940195.75","175733456.9457","117894","486618.78","90961240.6058"
"1755727200","SOLUSDT","187.18","187.59","185.75","186.92","941414.91","175709444.51075","98613","439084.01","81991883.24368"
"1755730800","SOLUSDT","186.93","187.6","186.56","187.27","546709.53","102315268.7177","75126","279292.91","52273622.9112"
"1755734400","SOLUSDT","187.26","187.91","186.61","187.9","569362.41","106547980.8075","64335","289514.62","54184076.0408"
