"ts","symbol","open","high","low","close","volume","quote_volume","trade_count","taker_buy_base","taker_buy_quote"
"1755651600","SUIUSDT","3.4204","3.4651","3.4188","3.4595","7727556.9","26641842.34547","52605","4156218.8","14327068.55189"
"1755655200","SUIUSDT","3.4596","3.4688","3.4227","3.465","10437849","35983390.35334","66082","4918724.8","16956926.17383"
"1755658800","SUIUSDT","3.4647","3.4741","3.4532","3.4554","6173099","21384253.84851","46314","2827955.3","9796323.61924"
"1755662400","SUIUSDT","3.4554","3.4952","3.4478","3.4644","8193686.4","28451244.28282","50036","4190105.7","14556934.869"
"1755666000","SUIUSDT","3.4643","3.4941","3.4627","3.4918","6325984.3","22033079.53182","44062","3319878","11563123.25553"
"1755669600","SUIUSDT","3.4918","3.4933","3.4666","3.483","4763244.2","16570563.89628","36827","2150943.7","7483199.42365"
"1755673200","SUIUSDT","3.483","3.4858","3.4561","3.475","6114369","21216607.17481","40116","2593455.4","8999629.67006"
"1755676800","SUIUSDT","3.475","3.492","3.4654","3.4685","4982054.7","17342218.44178","40195","2161924.9","7526139.27157"
"1755680400","SUIUSDT","3.4686","3.5231","3.4612","3.5157","10826179","37837202.20662","62472","6061550.5","21189466.63179"
"1755684000","SUIUSDT","3.5156","3.5156","3.4718","3.4768","8941268.2","31245251.09277","53017","4290238.4","14991042.86188"
"1755687600","SUIUSDT","3.4768","3.4938","3.4727","3.4834","3778179.8","13154278.769","34377","1930946.1","6722339.52747"
"1755691200","SUIUSDT","3.4835","3.4916","3.4204","3.4632","10360014.4","35740123.71607","65416","4614904.3","15912160.96046"
"1755694800","SUIUSDT","3.4632","3.4979","3.4551","3.4756","10796153","37550682.75688","68480","5064418.2","17614115.81552"
"1755698400","SUIUSDT","3.4757","3.4839","3.4013","3.4185","17429751","59979431.45793","107060","7874340.2","27104329.56443"
"1755702000","SUIUSDT","3.4185","3.4957","3.3792","3.467","25173016.9","86497349.0313","134951","11452648.4","39362038.20978"
"1755705600","SUIUSDT","3.4671","3.54","3.4616","3.4989","19648397.9","69070644.6239","105851","10260108","36055913.17456"
"1755709200","SUIUSDT","3.4989","3.5593","3.4987","3.5193","14076597.2","49758706.76038","73967","6948631.4","24562213.09114"
"1755712800","SUIUSDT","3.5193","3.5753","3.5162","3.5584","11435618.2","40541694.42747","67209","6456482.9","22896793.56183"
"1755716400","SUIUSDT","3.5584","3.56","3.4971","3.5284","11600372.7","40865321.47225","68174","5610032.9","19763905.00583"
"1755720000","SUIUSDT","3.5285","3.5875","3.5261","3.5829","10183568.6","36328972.01631","65083","4548972.6","16227138.95802"
"1755723600","SUIUSDT","3.5828","3.5841","3.5577","3.5693","7026257.8","25087248.67376","43526","3391771.7","12110022.34686"
"1755727200","SUIUSDT","3.5693","3.5781","3.5436","3.5652","5693160.2","20268117.48179","37197","2983885","10624467.08564"
"1755730800","SUIUSDT","3.5652","3.5783","3.5517","3.5747","4299284.3","15328510.22035","35405","2389931.7","8521302.18464"
"1755734400","SUIUSDT","3.5746","3.5757","3.55","3.5568","3955941.9","14089937.74789","27741","1807792.6","6438995.78583"
