"ts","symbol","open","high","low","close","volume","quote_volume","trade_count","taker_buy_base","taker_buy_quote"
"1755651600","TRUMPUSDT","8.607","8.667","8.601","8.645","876608.58","7576619.56339","19421","474931.61","4104956.41257"
"1755655200","TRUMPUSDT","8.644","8.677","8.558","8.657","1402442.14","12075706.72859","25837","645810","5563702.12737"
"1755658800","TRUMPUSDT","8.657","8.68","8.637","8.666","838899.38","7266818.2769","16678","472770.23","4095766.36069"
"1755662400","TRUMPUSDT","8.667","8.721","8.654","8.679","648910.85","5637265.49542","15149","332277.98","2886808.23749"
"1755666000","TRUMPUSDT","8.68","8.75","8.679","8.736","756888.51","6603518.34195","15140","445136.18","3883831.27825"
"1755669600","TRUMPUSDT","8.737","8.762","8.699","8.758","620231.2","5414325.86426","12285","354893.93","3099250.36169"
"1755673200","TRUMPUSDT","8.759","8.771","8.718","8.759","693174.89","6064714.40283","13174","385629.69","3374868.8098"
"1755676800","TRUMPUSDT","8.759","8.793","8.733","8.739","861729.26","7555887.10608","14633","377288.21","3308191.94214"
"1755680400","TRUMPUSDT","8.74","8.821","8.73","8.821","1196273.5","10516012.0495","19568","680076.23","5977853.80647"
"1755684000","TRUMPUSDT","8.82","8.82","8.772","8.783","539781.34","4746616.43919","12095","243636.58","2142949.52566"
"1755687600","TRUMPUSDT","8.783","8.828","8.758","8.809","1064277.92","9358261.70982","19041","654229.51","5753289.82102"
"1755691200","TRUMPUSDT","8.81","8.82","8.691","8.784","1226213.42","10728523.9317","20216","555157.48","4856672.05042"
"1755694800","TRUMPUSDT","8.785","8.84","8.764","8.789","950497.84","8361041.29914","20587","501358.77","4411523.45331"
"1755698400","TRUMPUSDT","8.789","8.792","8.642","8.671","2262476.47","19707819.67067","38597","1008490.52","8786752.19398"
"1755702000","TRUMPUSDT","8.671","8.811","8.621","8.775","2252951.97","19644050.25506","45300","1160870.56","10125449.37196"
"1755705600","TRUMPUSDT","8.775","8.892","8.766","8.809","1659750.17","14674754.40483","32625","803180.44","7103428.61583"
"1755709200","TRUMPUSDT","8.808","8.906","8.807","8.843","1382337.56","12252681.72958","25001","661688.45","5865312.24555"
"1755712800","TRUMPUSDT","8.843","8.912","8.827","8.875","817242.55","7245125.20734","19441","417516.75","3701612.33356"
"1755716400","TRUMPUSDT","8.875","8.88","8.777","8.832","964851.5","8501343.03929","19610","427007.29","3762943.66606"
"1755720000","TRUMPUSDT","8.832","8.925","8.826","8.919","788036.82","7003012.53388","17652","462675.96","4111101.68948"
"1755723600","TRUMPUSDT","8.919","8.923","8.885","8.897","418120.55","3722007.45613","13556","198715.62","1768852.62884"
"1755727200","TRUMPUSDT","8.898","8.93","8.872","8.91","588731.89","5239247.79687","12527","269239.11","2396062.83693"
"1755730800","TRUMPUSDT","8.911","8.936","8.896","8.929","347335.16","3096508.09273","12547","194808.59","1736698.29322"
"1755734400","TRUMPUSDT","8.928","8.931","8.891","8.906","348639.65","3104567.53255","9476","159711.1","1422297.8127"
