"ts","symbol","open","high","low","close","volume","quote_volume","trade_count","taker_buy_base","taker_buy_quote"
"1755651600","TRXUSDT","0.34731","0.34874","0.34728","0.34832","26395630","9180518.72064","16693","14941047","5196343.62495"
"1755655200","TRXUSDT","0.34831","0.34868","0.34573","0.34732","39493177","13692851.06652","22003","19576442","6785295.61683"
"1755658800","TRXUSDT","0.34732","0.34869","0.34724","0.34857","23093979","8037604.26941","15377","13419016","4670206.39101"
"1755662400","TRXUSDT","0.34855","0.34949","0.34787","0.34885","17429895","6077599.15376","14203","9081893","3167085.02162"
"1755666000","TRXUSDT","0.34885","0.34992","0.34768","0.34802","22221279","7751545.63185","12987","10123772","3532051.80116"
"1755669600","TRXUSDT","0.34802","0.34901","0.34787","0.3489","10732593","3741073.0456","9199","5906250","2058518.58573"
"1755673200","TRXUSDT","0.34891","0.34972","0.34862","0.34936","17238521","6021549.11503","13063","8305354","2901274.21312"
"1755676800","TRXUSDT","0.34937","0.34971","0.34881","0.34903","8323964","2908427.89144","8607","3447334","1204605.04967"
"1755680400","TRXUSDT","0.34904","0.35082","0.34876","0.35042","28591615","10004793.41339","14041","14821510","5187057.95766"
"1755684000","TRXUSDT","0.35042","0.35048","0.34963","0.35014","8065068","2822880.18637","8180","4155657","1454636.28087"
"1755687600","TRXUSDT","0.35014","0.35115","0.3501","0.35086","12375054","4339974.56487","8394","7207765","2527780.5705"
"1755691200","TRXUSDT","0.35086","0.35108","0.34818","0.35035","27977704","9775661.49318","14473","14954863","5225245.51431"
"1755694800","TRXUSDT","0.35036","0.35154","0.34983","0.35101","29474517","10339175.34376","17244","15417118","5408234.58634"
"1755698400","TRXUSDT","0.35102","0.35116","0.34789","0.34801","52391196","18304136.74835","23620","22736716","7945993.71726"
"1755702000","TRXUSDT","0.348","0.34961","0.34643","0.34714","75719194","26340195.52442","30530","35748458","12441038.2472"
"1755705600","TRXUSDT","0.34714","0.34916","0.34682","0.34824","46587381","16226050.98248","24908","24461489","8519969.65018"
"1755709200","TRXUSDT","0.34823","0.35075","0.34814","0.3499","33542232","11733794.77043","17532","18371443","6427031.18639"
"1755712800","TRXUSDT","0.3499","0.35129","0.3495","0.35111","17084574","5987847.68512","11892","9169320","3213562.16795"
"1755716400","TRXUSDT","0.35111","0.35146","0.34916","0.35031","31468421","11024158.82622","17757","15753072","5519206.55216"
"1755720000","TRXUSDT","0.35032","0.35328","0.35025","0.35307","36412269","12825587.16967","18724","22420790","7897455.11087"
"1755723600","TRXUSDT","0.35307","0.354","0.35263","0.35368","18575711","6563187.83426","15353","10518010","3716171.0022"
"1755727200","TRXUSDT","0.35368","0.3539","0.35313","0.35366","8933636","3158744.47101","10009","3796972","1342551.79004"
"1755730800","TRXUSDT","0.35367","0.35536","0.35367","0.35524","17651484","6256954.82788","14514","11439559","4055600.5988"
"1755734400","TRXUSDT","0.35525","0.35535","0.35401","0.35435","10109784","3584187.46908","10276","3494394","1238597.49838"
