"ts","symbol","open","high","low","close","volume","quote_volume","trade_count","taker_buy_base","taker_buy_quote"
"1755651600","UMAUSDT","1.44","1.48","1.378","1.4","8074028","11483888.771","41353","3690429","5254590.114"
"1755655200","UMAUSDT","1.4","1.42","1.365","1.401","4877013","6803423.056","27402","2458881","3433690.009"
"1755658800","UMAUSDT","1.402","1.498","1.401","1.491","5637956","8183527.27","29249","2926342","4247354.109"
"1755662400","UMAUSDT","1.491","1.584","1.466","1.576","14941935","22786799.483","66995","7605040","11605386.765"
"1755666000","UMAUSDT","1.576","1.61","1.528","1.565","17710985","27725187.512","79315","8949361","14019217.092"
"1755669600","UMAUSDT","1.565","1.577","1.504","1.516","8068095","12373922.993","37776","3810048","5845598.523"
"1755673200","UMAUSDT","1.517","1.522","1.452","1.462","7253128","10742093.557","33422","3525399","5222438.844"
"1755676800","UMAUSDT","1.463","1.491","1.434","1.462","7328862","10764181.824","38040","3755200","5518713.961"
"1755680400","UMAUSDT","1.461","1.498","1.431","1.443","7033538","10360969.155","36543","3366225","4964988.897"
"1755684000","UMAUSDT","1.443","1.447","1.407","1.412","3298260","4701291.159","21383","1495080","2132876.79"
"1755687600","UMAUSDT","1.413","1.423","1.392","1.417","2975701","4199913.316","18006","1575947","2226387.441"
"1755691200","UMAUSDT","1.418","1.433","1.377","1.38","4094401","5744784.804","24498","1813767","2550671.706"
"1755694800","UMAUSDT","1.38","1.394","1.375","1.391","2486608","3439893.502","15119","1349646","1867881.643"
"1755698400","UMAUSDT","1.392","1.4","1.373","1.395","2736844","3798291.465","14531","1369318","1902628.038"
"1755702000","UMAUSDT","1.394","1.425","1.382","1.421","2304191","3234170.307","18673","1266804","1779651.15"
"1755705600","UMAUSDT","1.42","1.461","1.414","1.425","4231934","6075043.037","29275","2027906","2909948.419"
"1755709200","UMAUSDT","1.425","1.438","1.414","1.421","1878151","2674833.551","18167","798977","1138402.71"
"1755712800","UMAUSDT","1.421","1.427","1.412","1.417","1156058","1641317.971","13202","537671","763841.544"
"1755716400","UMAUSDT","1.417","1.425","1.408","1.423","1166789","1651640.516","8378","470912","666752.735"
"1755720000","UMAUSDT","1.423","1.437","1.423","1.436","823437","1178442.942","8010","431509","617584.233"
"1755723600","UMAUSDT","1.436","1.437","1.427","1.43","633334","906944.612","7006","291473","417521.017"
"1755727200","UMAUSDT","1.431","1.465","1.429","1.437","1541249","2223719.212","11089","840568","1213495.222"
"1755730800","UMAUSDT","1.437","1.451","1.435","1.447","691631","997393.497","6440","371499","536107.346"
"1755734400","UMAUSDT","1.448","1.449","1.435","1.438","598873","863439.178","5564","259693","374595.485"
