"ts","symbol","open","high","low","close","volume","quote_volume","trade_count","taker_buy_base","taker_buy_quote"
"1755651600","UNIUSDT","9.946","10.067","9.944","10.043","838742","8396952.11","30079","422361","4229279.092"
"1755655200","UNIUSDT","10.041","10.078","9.908","10.053","1214324","12136062.499","34799","620945","6208278.169"
"1755658800","UNIUSDT","10.053","10.122","10.032","10.102","644338","6503332.2","22077","328874","3318988.613"
"1755662400","UNIUSDT","10.102","10.184","10.077","10.11","662338","6706880.112","18177","339296","3437104.45"
"1755666000","UNIUSDT","10.11","10.19","10.107","10.156","648759","6589833.625","17062","335451","3407220.711"
"1755669600","UNIUSDT","10.155","10.175","10.099","10.174","397935","4033572.275","14107","186555","1891272.225"
"1755673200","UNIUSDT","10.173","10.188","10.117","10.15","461925","4689119.46","15941","249415","2531846.444"
"1755676800","UNIUSDT","10.149","10.224","10.147","10.18","598570","6099526.542","19117","322893","3290043.293"
"1755680400","UNIUSDT","10.181","10.368","10.172","10.364","1210435","12446665.158","28747","652512","6711918.293"
"1755684000","UNIUSDT","10.364","10.364","10.245","10.262","811631","8362380.823","22325","368831","3801899.119"
"1755687600","UNIUSDT","10.261","10.3","10.237","10.275","419133","4302041.286","14249","182669","1875662.881"
"1755691200","UNIUSDT","10.275","10.289","10.106","10.232","832576","8479497.036","21466","348177","3546720.782"
"1755694800","UNIUSDT","10.232","10.325","10.172","10.22","742383","7600930.206","21973","353680","3621144.726"
"1755698400","UNIUSDT","10.219","10.238","10.029","10.051","1348139","13648442.931","37939","635449","6434953.093"
"1755702000","UNIUSDT","10.051","10.312","9.976","10.244","1765722","17925715.225","49392","905610","9201894.435"
"1755705600","UNIUSDT","10.244","10.464","10.228","10.334","1920371","19957216.235","44923","1038978","10795581.791"
"1755709200","UNIUSDT","10.334","10.494","10.334","10.408","1016995","10607146.843","29995","579816","6047667.323"
"1755712800","UNIUSDT","10.407","10.584","10.403","10.544","1010785","10616274.767","29646","565630","5942739.081"
"1755716400","UNIUSDT","10.544","10.552","10.366","10.464","784154","8185116.078","26298","374851","3913647.542"
"1755720000","UNIUSDT","10.464","10.6","10.451","10.595","574508","6066405.934","21525","289020","3052427.186"
"1755723600","UNIUSDT","10.594","10.618","10.558","10.594","535841","5672861.955","20796","260855","2761807.794"
"1755727200","UNIUSDT","10.596","10.645","10.532","10.597","635526","6727134.345","19965","260253","2756931.18"
"1755730800","UNIUSDT","10.597","10.678","10.597","10.668","456009","4851637.631","18228","249171","2651247.797"
"1755734400","UNIUSDT","10.668","10.687","10.58","10.605","499845","5317925.717","17124","220801","2349133.488"
