"ts","symbol","open","high","low","close","volume","quote_volume","trade_count","taker_buy_base","taker_buy_quote"
"1755651600","WIFUSDT","0.8259","0.8383","0.8253","0.8317","12734889.1","10594845.35067","31767","6439903.9","5356619.89407"
"1755655200","WIFUSDT","0.8318","0.8347","0.8202","0.8318","15682074.9","12967717.87263","39622","6822122.1","5641644.27963"
"1755658800","WIFUSDT","0.8317","0.8366","0.8289","0.8325","10868575.9","9052609.65051","28310","5391590.6","4490489.97529"
"1755662400","WIFUSDT","0.8325","0.8425","0.8279","0.8317","9637872.3","8040841.18753","26689","5050463","4213611.60692"
"1755666000","WIFUSDT","0.8318","0.8417","0.8315","0.8363","10169533.9","8509521.85195","24271","5508360.5","4609979.25148"
"1755669600","WIFUSDT","0.8362","0.8369","0.8291","0.8327","13146457.3","10947047.77561","22201","4883218.9","4064269.17915"
"1755673200","WIFUSDT","0.8328","0.8349","0.8257","0.8301","7625052.6","6329925.14831","21869","4029025","3345673.73241"
"1755676800","WIFUSDT","0.8301","0.8351","0.8269","0.8281","6053978.1","5030345.24662","20564","3192095.1","2652458.48417"
"1755680400","WIFUSDT","0.828","0.843","0.8266","0.8428","14056128.3","11763994.86541","31169","7972110.7","6673051.15517"
"1755684000","WIFUSDT","0.8427","0.8467","0.84","0.8408","8712556.9","7345416.04737","25358","4418544.5","3725830.08479"
"1755687600","WIFUSDT","0.8407","0.843","0.8367","0.8398","5557913.1","4666477.80896","17612","2766221.6","2322936.53494"
"1755691200","WIFUSDT","0.8399","0.842","0.8227","0.8355","16759653.9","13919841.80967","34959","7875990.5","6543027.55451"
"1755694800","WIFUSDT","0.8354","0.8439","0.8298","0.8365","16841931.5","14099061.67293","39393","8193225.5","6859809.24838"
"1755698400","WIFUSDT","0.8365","0.8374","0.8123","0.8169","33651314.2","27715091.81237","64158","15973757.5","13159171.1964"
"1755702000","WIFUSDT","0.817","0.8445","0.809","0.839","45659176.4","37745698.18026","80238","22885962.1","18935909.86255"
"1755705600","WIFUSDT","0.839","0.8607","0.8377","0.8523","31208547.7","26658853.48987","65019","15785827.8","13483976.17086"
"1755709200","WIFUSDT","0.8522","0.8707","0.8519","0.8629","17668686.4","15270775.14565","45879","8820674.7","7625916.34843"
"1755712800","WIFUSDT","0.8629","0.8738","0.8587","0.8666","14637493.8","12668756.94988","37393","7653574","6624625.77659"
"1755716400","WIFUSDT","0.8666","0.8676","0.8454","0.8575","23669291.2","20197466.12417","43467","10395176.2","8873458.65444"
"1755720000","WIFUSDT","0.8576","0.8742","0.8566","0.8736","12858071.6","11154847.4449","38519","6682567.8","5796951.22573"
"1755723600","WIFUSDT","0.8737","0.8755","0.8682","0.8719","11639087","10152154.65096","30161","5699764","4972310.54282"
"1755727200","WIFUSDT","0.8719","0.8771","0.866","0.8717","9540917.7","8311812.57151","26317","4574297.6","3988392.0929"
"1755730800","WIFUSDT","0.872","0.876","0.8687","0.8736","6104854.8","5325430.70974","21709","3296237.1","2875747.66961"
"1755734400","WIFUSDT","0.8735","0.8744","0.8682","0.8716","6250771.1","5440920.86072","17866","3069994.2","2672397.03781"
