"ts","symbol","open","high","low","close","volume","quote_volume","trade_count","taker_buy_base","taker_buy_quote"
"1755651600","WLDUSDT","0.8999","0.9093","0.8997","0.905","4675538","4232390.1978","18642","2560364","2317532.7989"
"1755655200","WLDUSDT","0.9049","0.909","0.8916","0.9067","7313417","6584205.6251","25262","3059539","2756992.7884"
"1755658800","WLDUSDT","0.9068","0.9104","0.9039","0.9073","3984526","3615714.8671","15920","2138483","1940950.1112"
"1755662400","WLDUSDT","0.9073","0.9165","0.9053","0.9088","3865110","3519516.1626","14461","2152449","1959798.065"
"1755666000","WLDUSDT","0.9088","0.9195","0.9087","0.9169","4054586","3714116.2492","15245","2448185","2242514.0575"
"1755669600","WLDUSDT","0.9169","0.9216","0.913","0.9213","2641840","2422450.0833","11597","1410406","1293463.733"
"1755673200","WLDUSDT","0.9213","0.9224","0.9149","0.9188","3350761","3078848.9379","15003","1693240","1555622.8753"
"1755676800","WLDUSDT","0.9189","0.9258","0.9189","0.9242","4572867","4220957.7271","15675","2686804","2480019.2091"
"1755680400","WLDUSDT","0.9243","0.9348","0.9232","0.9345","4880949","4535390.6181","17845","2608643","2423756.9562"
"1755684000","WLDUSDT","0.9345","0.9415","0.9319","0.9375","7172457","6718506.9007","24275","3843328","3600131.5962"
"1755687600","WLDUSDT","0.9375","0.9413","0.9322","0.9324","3663604","3434101.0432","15467","1652750","1549399.5461"
"1755691200","WLDUSDT","0.9326","0.9338","0.9138","0.9271","6773202","6254495.7329","22548","3067541","2831861.2272"
"1755694800","WLDUSDT","0.9271","0.9356","0.9209","0.9274","5737313","5325525.3104","25303","3057655","2838292.8384"
"1755698400","WLDUSDT","0.9274","0.9289","0.9083","0.9117","9902533","9089194.7371","34503","4320989","3969651.1942"
"1755702000","WLDUSDT","0.9117","0.9361","0.9042","0.9286","13572645","12496950.3499","43405","7044962","6487616.3866"
"1755705600","WLDUSDT","0.9286","0.9468","0.9273","0.9375","10262083","9653077.9723","36083","4932673","4640269.0092"
"1755709200","WLDUSDT","0.9376","0.9531","0.9373","0.9434","14110079","13357496.3235","34388","7568203","7164821.1718"
"1755712800","WLDUSDT","0.9433","0.9547","0.9428","0.9511","5477820","5192190.4977","20939","2990436","2835683.6513"
"1755716400","WLDUSDT","0.951","0.9515","0.9366","0.9448","5789887","5464459.5271","22191","2669679","2520638.9136"
"1755720000","WLDUSDT","0.9446","0.9566","0.9437","0.9557","6511456","6196610.4421","25054","3197428","3042411.8851"
"1755723600","WLDUSDT","0.9556","0.9608","0.953","0.9554","4571070","4372587.9673","19547","2327413","2226889.5004"
"1755727200","WLDUSDT","0.9553","0.9607","0.9519","0.9584","3660314","3499723.9529","17618","1804676","1726013.1625"
"1755730800","WLDUSDT","0.9584","0.9651","0.9568","0.9633","3905337","3751539.7867","18320","2256931","2168422.3259"
"1755734400","WLDUSDT","0.9632","0.9652","0.958","0.9603","2131987","2049144.4652","12863","955795","918800.0024"
