"ts","symbol","open","high","low","close","volume","quote_volume","trade_count","taker_buy_base","taker_buy_quote"
"1755651600","XLMUSDT","0.39066","0.39476","0.39065","0.39354","13908385","5465019.14252","27731","7550213","2966417.83835"
"1755655200","XLMUSDT","0.39352","0.39492","0.38954","0.39402","17773760","6969183.04036","33196","8268861","3242667.68861"
"1755658800","XLMUSDT","0.39403","0.396","0.39314","0.39466","11379988","4493821.07676","21606","5791277","2287482.10313"
"1755662400","XLMUSDT","0.39466","0.39752","0.39397","0.39542","11746721","4648902.34139","22337","6008611","2378151.59715"
"1755666000","XLMUSDT","0.39542","0.39854","0.39527","0.39777","7395959","2938397.10832","16707","3785198","1504180.00082"
"1755669600","XLMUSDT","0.39777","0.39872","0.39612","0.39857","6863626","2728527.06342","13847","3806621","1513416.39707"
"1755673200","XLMUSDT","0.39858","0.39884","0.39601","0.39709","7104357","2821761.36923","14945","2489767","988990.52653"
"1755676800","XLMUSDT","0.3971","0.39838","0.39479","0.39505","7956115","3154891.05748","16508","2852061","1131308.35934"
"1755680400","XLMUSDT","0.39506","0.3995","0.39449","0.39934","20691900","8230750.86791","26733","11436567","4550172.33778"
"1755684000","XLMUSDT","0.39934","0.39987","0.39706","0.3975","11367078","4532269.44822","19342","4850411","1934367.59376"
"1755687600","XLMUSDT","0.39752","0.39942","0.39731","0.39838","6075071","2419504.80201","14945","3134094","1248289.38634"
"1755691200","XLMUSDT","0.39838","0.39872","0.39239","0.39733","13833626","5462951.42904","22980","6601358","2606214.47633"
"1755694800","XLMUSDT","0.39736","0.40011","0.39551","0.39686","12116793","4821335.64482","24988","6337117","2521074.60729"
"1755698400","XLMUSDT","0.39686","0.39751","0.38989","0.39036","29668140","11670049.88526","46498","14082732","5542056.12435"
"1755702000","XLMUSDT","0.39032","0.39757","0.38719","0.39472","43164102","16925190.78579","59202","21583522","8464368.20787"
"1755705600","XLMUSDT","0.39471","0.40302","0.39413","0.39837","32763562","13107760.75077","47132","17910936","7164122.89483"
"1755709200","XLMUSDT","0.39837","0.40333","0.39837","0.39984","16259008","6516871.18214","30702","7681940","3078836.83487"
"1755712800","XLMUSDT","0.39984","0.4057","0.39965","0.40412","18410785","7420854.6788","27942","11331530","4567462.45397"
"1755716400","XLMUSDT","0.40412","0.40452","0.39824","0.40082","17462689","6991372.25596","28276","7408268","2967280.93221"
"1755720000","XLMUSDT","0.40083","0.40817","0.40051","0.40772","15503031","6282414.31169","25533","8260495","3347222.75877"
"1755723600","XLMUSDT","0.40771","0.40787","0.40595","0.40642","9493363","3862653.91667","20516","4540444","1847586.49878"
"1755727200","XLMUSDT","0.40642","0.4075","0.40411","0.40634","7496299","3041895.20677","16134","3547856","1440086.19142"
"1755730800","XLMUSDT","0.40633","0.40724","0.40575","0.4065","7040025","2862744.82437","15188","4092876","1664353.52476"
"1755734400","XLMUSDT","0.4065","0.40663","0.40384","0.40436","6755176","2735827.22565","13445","2315874","938263.01345"
