"ts","symbol","open","high","low","close","volume","quote_volume","trade_count","taker_buy_base","taker_buy_quote"
"1755651600","XNYUSDT","0.011143","0.011299","0.010625","0.010753","825765419","9019380.96644","108855","378736073","4138606.432104"
"1755655200","XNYUSDT","0.010752","0.010949","0.01051","0.010834","917244372","9815880.493544","138022","460708386","4932236.715487"
"1755658800","XNYUSDT","0.010834","0.011096","0.010832","0.010892","506086585","5551868.188432","85496","250114751","2744319.629128"
"1755662400","XNYUSDT","0.010893","0.011056","0.010801","0.010959","374807192","4097248.885692","68494","186141940","2035843.272804"
"1755666000","XNYUSDT","0.010958","0.011195","0.01082","0.01096","430358491","4732290.723849","71185","214707739","2361767.93676"
"1755669600","XNYUSDT","0.01096","0.011026","0.010684","0.01098","406408315","4428259.917876","67122","194216176","2117959.907267"
"1755673200","XNYUSDT","0.010979","0.01115","0.010907","0.010958","419963584","4630279.719512","65803","208719201","2303067.843073"
"1755676800","XNYUSDT","0.010959","0.010962","0.01037","0.010446","873151022","9295728.566566","117817","403429849","4299286.818806"
"1755680400","XNYUSDT","0.010446","0.010565","0.010225","0.010538","660693304","6877918.136362","120183","324043490","3375347.930433"
"1755684000","XNYUSDT","0.010538","0.010676","0.010433","0.010584","444727556","4706574.390018","81760","224436153","2375917.36665"
"1755687600","XNYUSDT","0.010582","0.010634","0.010387","0.010452","626602003","6575748.075312","129489","291729833","3062294.052145"
"1755691200","XNYUSDT","0.010453","0.010584","0.009903","0.010121","1198260763","12239714.830809","230757","557456042","5696589.737561"
"1755694800","XNYUSDT","0.010121","0.01032","0.009801","0.010025","1043131810","10450310.695214","133785","472905098","4734818.044499"
"1755698400","XNYUSDT","0.010025","0.010027","0.009712","0.009877","939608146","9272162.211014","128158","434856165","4292417.967671"
"1755702000","XNYUSDT","0.009879","0.0107","0.009784","0.010654","1432105584","14745213.508025","166904","781204234","8036144.354519"
"1755705600","XNYUSDT","0.010654","0.011248","0.010652","0.011008","1495658552","16415782.315515","201626","784316372","8600988.400817"
"1755709200","XNYUSDT","0.011009","0.011014","0.010556","0.01078","1064977926","11477628.8219","135917","498947318","5379538.95427"
"1755712800","XNYUSDT","0.01078","0.010955","0.010611","0.010763","510462561","5512329.394308","85122","258979660","2799522.429653"
"1755716400","XNYUSDT","0.010763","0.010896","0.01045","0.010817","538026291","5704679.281518","76226","268965084","2852866.619342"
"1755720000","XNYUSDT","0.010817","0.011364","0.010794","0.011311","537625218","5969832.663057","81788","284653187","3163131.515405"
"1755723600","XNYUSDT","0.011312","0.011386","0.010924","0.010961","501544575","5593207.818891","66503","224209649","2502027.043019"
"1755727200","XNYUSDT","0.010964","0.010986","0.010757","0.010776","278311745","3026523.307415","40200","125417842","1364436.136465"
"1755730800","XNYUSDT","0.010775","0.010797","0.010474","0.010529","328427035","3493583.035264","43951","144176863","1534622.555341"
"1755734400","XNYUSDT","0.010529","0.01062","0.010024","0.01006","622008407","6408788.620182","73252","260798465","2687639.693773"
