"ts","symbol","open","high","low","close","volume","quote_volume","trade_count","taker_buy_base","taker_buy_quote"
"1755651600","XRPUSDT","2.8593","2.8873","2.8585","2.8771","33649624.6","96752795.86374","117007","16367866.6","47041905.96015"
"1755655200","XRPUSDT","2.8772","2.8898","2.8476","2.8838","29946921","85952757.43668","125568","15220202.7","43685371.67399"
"1755658800","XRPUSDT","2.8837","2.8925","2.877","2.8836","16994255.8","49072386.68554","74688","8682182.1","25073255.98207"
"1755662400","XRPUSDT","2.8836","2.8987","2.88","2.8855","17090506.8","49363279.29466","73124","8272443.3","23893780.63972"
"1755666000","XRPUSDT","2.8856","2.8994","2.8852","2.897","20319122.1","58795857.65597","72953","10204656.5","29526731.82683"
"1755669600","XRPUSDT","2.897","2.8993","2.8864","2.8983","12143483.1","35143748.79834","50681","5453853.3","15783991.95422"
"1755673200","XRPUSDT","2.8983","2.8988","2.8751","2.8837","16624348.2","47972528.52688","61010","7659182.1","22095793.75045"
"1755676800","XRPUSDT","2.8837","2.8957","2.8637","2.8662","27338336.4","78741391.85237","82138","13537939.1","39000020.48979"
"1755680400","XRPUSDT","2.8662","2.913","2.8622","2.9119","43018796.2","124431106.33817","115426","23819017","68872387.00119"
"1755684000","XRPUSDT","2.9119","2.912","2.8833","2.8853","31672135.7","91816070.33007","103543","16329855.5","47345327.15987"
"1755687600","XRPUSDT","2.8854","2.905","2.8825","2.902","16226715","46958839.75575","66083","8249279.9","23873950.7038"
"1755691200","XRPUSDT","2.902","2.9042","2.8578","2.8881","32158767.6","92493030.85489","103719","15527313.3","44660669.5221"
"1755694800","XRPUSDT","2.8881","2.913","2.8844","2.8917","29502123.8","85486330.18609","103593","13604495.7","39411806.32468"
"1755698400","XRPUSDT","2.8918","2.8918","2.8357","2.8377","68695583.5","196460136.16871","187980","33523419.7","95881573.33366"
"1755702000","XRPUSDT","2.8378","2.9015","2.8174","2.8873","94429817.4","269549462.97314","259308","43782974.9","124923904.94977"
"1755705600","XRPUSDT","2.8874","2.9333","2.8831","2.9029","75399725.1","219887822.15871","205987","35461803.5","103428509.40424"
"1755709200","XRPUSDT","2.9029","2.9281","2.9026","2.9124","32490879.5","94773842.54248","115425","15856197.6","46255614.76921"
"1755712800","XRPUSDT","2.9124","2.955","2.9108","2.9421","46676734.9","137014905.59592","127907","25807588.3","75792986.71956"
"1755716400","XRPUSDT","2.9421","2.9442","2.9047","2.9174","35173715.9","102628988.84208","118518","15270802.9","44565979.23557"
"1755720000","XRPUSDT","2.9174","2.9876","2.9153","2.9875","34625590.2","102422731.90617","113185","17383720.8","51416001.44999"
"1755723600","XRPUSDT","2.9875","2.988","2.9643","2.9695","20744097.2","61671755.60858","95730","10629088.1","31598187.34007"
"1755727200","XRPUSDT","2.9695","2.9754","2.9519","2.9662","18040349.1","53471982.70768","71432","8599688","25491231.933"
"1755730800","XRPUSDT","2.9662","2.9729","2.9601","2.9681","13165278.2","39043070.8586","59367","6494626.3","19259775.8994"
"1755734400","XRPUSDT","2.9681","2.9691","2.948","2.9503","13705953","40513130.88637","56164","6102802.8","18040944.99809"
