ts,symbol,name_cn,side,qty,price,fee,pnl,reason
2025-08-21T00:00:06.451579,ETHUSDT,ETHUSDT,buy,0.00074345,4337.70777,0.001612,0.0,auto
2025-08-21T00:00:06.452149,BTCUSDT,BTCUSDT,buy,1.265e-05,114249.59625,0.000723,0.0,auto
2025-08-21T00:00:06.452717,SOLUSDT,SOLUSDT,buy,0.0071996,186.85338,0.000673,0.0,auto
2025-08-21T00:00:06.453262,XRPUSDT,XRPUSDT,buy,0.81663549,2.955077,0.001207,0.0,auto
2025-08-21T00:00:06.453775,LINKUSDT,LINKUSDT,buy,0.13949677,26.45322,0.001845,0.0,auto
2025-08-21T00:00:06.453775,DOGEUSDT,DOGEUSDT,buy,10.5138329,0.221641,0.001165,0.0,auto
2025-08-21T00:00:06.454286,ADAUSDT,ADAUSDT,buy,1.95750711,0.883141,0.000864,0.0,auto
2025-08-21T00:00:06.454827,API3USDT,API3USDT,sell,2.98686943,1.436182,0.002145,0.0,auto
2025-08-21T00:00:06.456467,BNBUSDT,BNBUSDT,buy,0.00221509,873.09633,0.000967,0.0,auto
2025-08-21T00:00:06.456999,BIOUSDT,BIOUSDT,buy,28.77478707,0.147634,0.002124,0.0,auto
2025-08-21T00:00:06.456999,SUIUSDT,SUIUSDT,buy,0.7029014,3.558378,0.001251,0.0,auto
2025-08-21T00:00:06.457541,ENAUSDT,ENAUSDT,buy,3.98701519,0.656928,0.00131,0.0,auto
2025-08-21T00:00:06.458073,1000PEPEUSDT,1000PEPEUSDT,buy,201.54330805,0.010655,0.001074,0.0,auto
2025-08-21T00:00:06.458073,MEMEUSDT,MEMEUSDT,buy,3356.462997,0.002818,0.00473,0.0,auto
2025-08-21T00:00:06.458606,AIOTUSDT,AIOTUSDT,buy,0.30756841,1.677788,0.000258,0.0,auto
2025-08-21T00:00:06.458606,ARBUSDT,ARBUSDT,buy,6.94300953,0.511356,0.001775,0.0,auto
2025-08-21T00:00:06.459152,AVAXUSDT,AVAXUSDT,buy,0.07697244,23.455722,0.000903,0.0,auto
2025-08-21T00:00:06.459693,FARTCOINUSDT,FARTCOINUSDT,buy,3.7357974,0.916958,0.001713,0.0,auto
2025-08-21T00:00:06.460230,PENGUUSDT,PENGUUSDT,buy,123.07945484,0.031872,0.001961,0.0,auto
2025-08-21T00:00:06.460230,HYPEUSDT,HYPEUSDT,buy,0.04964619,43.052515,0.001069,0.0,auto
2025-08-21T00:00:06.460764,LTCUSDT,LTCUSDT,buy,0.01933516,116.128035,0.001123,0.0,auto
2025-08-21T00:00:06.460764,PUMPUSDT,PUMPUSDT,buy,1720.2447014,0.003154,0.002712,0.0,auto
2025-08-21T00:00:06.460764,OGNUSDT,OGNUSDT,buy,148.36783678,0.076538,0.005678,0.0,auto
2025-08-21T00:00:06.461796,WIFUSDT,WIFUSDT,buy,2.92631178,0.869535,0.001272,0.0,auto
2025-08-21T00:00:06.461796,MYXUSDT,MYXUSDT,sell,2.19504417,1.078361,0.001184,0.0,auto
2025-08-21T00:00:06.461796,CFXUSDT,CFXUSDT,buy,29.94544566,0.184682,0.002765,0.0,auto
2025-08-21T00:00:06.462823,AAVEUSDT,AAVEUSDT,buy,0.003267,298.459155,0.000488,0.0,auto
2025-08-21T00:00:06.462823,TRXUSDT,TRXUSDT,buy,4.00217144,0.354397,0.000709,0.0,auto
2025-08-21T00:00:06.462823,TRUMPUSDT,TRUMPUSDT,buy,0.20511943,8.900448,0.000913,0.0,auto
2025-08-21T00:00:06.462823,UNIUSDT,UNIUSDT,buy,0.15670938,10.637316,0.000833,0.0,auto
2025-08-21T00:00:06.463866,LDOUSDT,LDOUSDT,buy,1.62401404,1.325662,0.001076,0.0,auto
2025-08-21T00:00:06.463866,1000BONKUSDT,1000BONKUSDT,buy,62.33383612,0.022318,0.000696,0.0,auto
2025-08-21T00:00:06.463866,UMAUSDT,UMAUSDT,sell,0.70888533,1.443278,0.000512,0.0,auto
2025-08-21T00:00:06.464904,XNYUSDT,XNYUSDT,buy,431.48465633,0.010438,0.002252,0.0,auto
2025-08-21T00:00:06.464904,DOTUSDT,DOTUSDT,buy,0.32561116,3.890944,0.000633,0.0,auto
2025-08-21T00:00:06.464904,SAPIENUSDT,SAPIENUSDT,sell,31.40225417,0.24083,0.003781,0.0,auto
2025-08-21T00:00:06.466004,CRVUSDT,CRVUSDT,buy,1.26935717,0.88144,0.000559,0.0,auto
2025-08-21T00:00:06.466004,OPUSDT,OPUSDT,buy,1.77417633,0.726563,0.000645,0.0,auto
2025-08-21T00:00:06.466004,XLMUSDT,XLMUSDT,buy,4.01705837,0.405363,0.000814,0.0,auto
2025-08-21T00:00:06.467040,SEIUSDT,SEIUSDT,buy,3.12074815,0.307954,0.000481,0.0,auto
2025-08-21T00:00:06.467040,NEARUSDT,NEARUSDT,buy,0.38009452,2.547273,0.000484,0.0,auto
2025-08-21T00:00:06.467040,WLDUSDT,WLDUSDT,buy,0.90611509,0.962081,0.000436,0.0,auto
2025-08-21T00:00:06.468073,HBARUSDT,HBARUSDT,buy,5.38981657,0.241931,0.000652,0.0,auto
2025-08-21T00:00:06.468073,MUSDT,MUSDT,buy,9.40685558,0.444922,0.002093,0.0,auto
2025-08-21T00:00:06.468073,PROVEUSDT,PROVEUSDT,buy,0.88745334,1.178689,0.000523,0.0,auto
2025-08-21T00:00:06.469098,HYPERUSDT,HYPERUSDT,buy,2.02505392,0.349074,0.000353,0.0,auto
2025-08-21T00:00:06.469098,FILUSDT,FILUSDT,buy,0.5802722,2.438218,0.000707,0.0,auto
2025-08-21T00:00:06.469098,1000SHIBUSDT,1000SHIBUSDT,buy,102.58685807,0.012592,0.000646,0.0,auto
2025-08-21T00:00:06.470150,INJUSDT,INJUSDT,buy,0.11978205,14.049021,0.000841,0.0,auto
2025-08-21T00:00:06.470150,BCHUSDT,BCHUSDT,buy,0.00131488,561.4806,0.000369,0.0,auto
2025-08-21T00:00:17.594128,ETHUSDT,ETHUSDT,sell,7.57e-06,4333.37223,1.6e-05,0.0,auto
2025-08-21T00:00:17.595152,BTCUSDT,BTCUSDT,sell,2.9e-07,114135.40375,1.6e-05,0.0,auto
2025-08-21T00:00:17.595152,SOLUSDT,SOLUSDT,sell,0.00017562,186.66662,1.6e-05,0.0,auto
2025-08-21T00:00:17.595152,XRPUSDT,XRPUSDT,sell,0.01110484,2.952123,1.6e-05,0.0,auto
2025-08-21T00:00:17.596188,LINKUSDT,LINKUSDT,sell,0.00124052,26.42678,1.6e-05,0.0,auto
2025-08-21T00:00:17.596188,DOGEUSDT,DOGEUSDT,sell,0.14805779,0.221419,1.6e-05,0.0,auto
2025-08-21T00:00:17.597232,ADAUSDT,ADAUSDT,sell,0.03715786,0.882259,1.6e-05,0.0,auto
2025-08-21T00:00:17.597232,API3USDT,API3USDT,buy,0.02282639,1.437618,1.6e-05,0.0,auto
2025-08-21T00:00:17.597232,BNBUSDT,BNBUSDT,sell,3.759e-05,872.22367,1.6e-05,0.0,auto
2025-08-21T00:00:17.598286,BIOUSDT,BIOUSDT,sell,0.22227732,0.147486,1.6e-05,0.0,auto
2025-08-21T00:00:17.598286,SUIUSDT,SUIUSDT,sell,0.00922208,3.554822,1.6e-05,0.0,auto
2025-08-21T00:00:17.599277,ENAUSDT,ENAUSDT,sell,0.04995316,0.656272,1.6e-05,0.0,auto
2025-08-21T00:00:17.599814,1000PEPEUSDT,1000PEPEUSDT,sell,3.07979888,0.010644,1.6e-05,0.0,auto
2025-08-21T00:00:17.599814,MEMEUSDT,MEMEUSDT,sell,11.64332342,0.002816,1.6e-05,0.0,auto
2025-08-21T00:00:17.599814,AIOTUSDT,AIOTUSDT,buy,0.01955887,1.677788,1.6e-05,0.0,auto
2025-08-21T00:00:17.600852,ARBUSDT,ARBUSDT,sell,0.06417383,0.510844,1.6e-05,0.0,auto
2025-08-21T00:00:17.600852,AVAXUSDT,AVAXUSDT,sell,0.00139905,23.432278,1.6e-05,0.0,auto
2025-08-21T00:00:17.601897,FARTCOINUSDT,FARTCOINUSDT,sell,0.0357875,0.916042,1.6e-05,0.0,auto
2025-08-21T00:00:17.601897,PENGUUSDT,PENGUUSDT,sell,1.02960956,0.03184,1.6e-05,0.0,auto
2025-08-21T00:00:17.603045,HYPEUSDT,HYPEUSDT,sell,0.00076222,43.009484,1.6e-05,0.0,auto
2025-08-21T00:00:17.603045,LTCUSDT,LTCUSDT,sell,0.00028258,116.011965,1.6e-05,0.0,auto
2025-08-21T00:00:17.604092,PUMPUSDT,PUMPUSDT,sell,10.40585091,0.00315,1.6e-05,0.0,auto
2025-08-21T00:00:17.604092,OGNUSDT,OGNUSDT,sell,0.42874826,0.076462,1.6e-05,0.0,auto
2025-08-21T00:00:17.604092,WIFUSDT,WIFUSDT,sell,0.03773932,0.868665,1.6e-05,0.0,auto
2025-08-21T00:00:17.605126,MYXUSDT,MYXUSDT,buy,0.03040063,1.079439,1.6e-05,0.0,auto
2025-08-21T00:00:17.605126,CFXUSDT,CFXUSDT,sell,0.17768699,0.184498,1.6e-05,0.0,auto
2025-08-21T00:00:17.605126,AAVEUSDT,AAVEUSDT,sell,0.00010995,298.160845,1.6e-05,0.0,auto
2025-08-21T00:00:17.606251,TRXUSDT,TRXUSDT,sell,0.09259568,0.354043,1.6e-05,0.0,auto
2025-08-21T00:00:17.606251,TRUMPUSDT,TRUMPUSDT,sell,0.00368697,8.891552,1.6e-05,0.0,auto
2025-08-21T00:00:17.606251,UNIUSDT,UNIUSDT,sell,0.00308496,10.626684,1.6e-05,0.0,auto
2025-08-21T00:00:17.607279,LDOUSDT,LDOUSDT,sell,0.02475414,1.324337,1.6e-05,0.0,auto
2025-08-21T00:00:17.607279,1000BONKUSDT,1000BONKUSDT,sell,1.47035648,0.022296,1.6e-05,0.0,auto
2025-08-21T00:00:17.607279,UMAUSDT,UMAUSDT,buy,0.02271416,1.444722,1.6e-05,0.0,auto
2025-08-21T00:00:17.608373,XNYUSDT,XNYUSDT,sell,3.14379776,0.010428,1.6e-05,0.0,auto
2025-08-21T00:00:17.608373,DOTUSDT,DOTUSDT,sell,0.00843385,3.887055,1.6e-05,0.0,auto
2025-08-21T00:00:17.608373,SAPIENUSDT,SAPIENUSDT,buy,0.13612468,0.24107,1.6e-05,0.0,auto
2025-08-21T00:00:17.609404,CRVUSDT,CRVUSDT,sell,0.03722956,0.88056,1.6e-05,0.0,auto
2025-08-21T00:00:17.609404,OPUSDT,OPUSDT,sell,0.04516558,0.725837,1.6e-05,0.0,auto
2025-08-21T00:00:17.609404,XLMUSDT,XLMUSDT,sell,0.0809538,0.404957,1.6e-05,0.0,auto
2025-08-21T00:00:17.610438,SEIUSDT,SEIUSDT,sell,0.10656024,0.307646,1.6e-05,0.0,auto
2025-08-21T00:00:17.610438,NEARUSDT,NEARUSDT,sell,0.01288266,2.544727,1.6e-05,0.0,auto
2025-08-21T00:00:17.610438,WLDUSDT,WLDUSDT,sell,0.03410903,0.961119,1.6e-05,0.0,auto
2025-08-21T00:00:17.611464,HBARUSDT,HBARUSDT,sell,0.13564055,0.241689,1.6e-05,0.0,auto
2025-08-21T00:00:17.611464,MUSDT,MUSDT,sell,0.07375589,0.444478,1.6e-05,0.0,auto
2025-08-21T00:00:17.611464,PROVEUSDT,PROVEUSDT,sell,0.0278408,1.177511,1.6e-05,0.0,auto
2025-08-21T00:00:17.612489,HYPERUSDT,HYPERUSDT,sell,0.09400757,0.348726,1.6e-05,0.0,auto
2025-08-21T00:00:17.612489,FILUSDT,FILUSDT,sell,0.01345886,2.435782,1.6e-05,0.0,auto
2025-08-21T00:00:17.612489,1000SHIBUSDT,1000SHIBUSDT,sell,2.60601002,0.01258,1.6e-05,0.0,auto
2025-08-21T00:00:17.613513,INJUSDT,INJUSDT,sell,0.0023358,14.034979,1.6e-05,0.0,auto
2025-08-21T00:00:17.613513,BCHUSDT,BCHUSDT,sell,5.844e-05,560.9194,1.6e-05,0.0,auto
2025-08-21T00:00:28.737977,ETHUSDT,ETHUSDT,sell,9e-08,4333.37223,0.0,0.0,auto
2025-08-21T00:00:28.739003,BTCUSDT,BTCUSDT,sell,0.0,114135.40375,0.0,0.0,auto
2025-08-21T00:00:28.739003,SOLUSDT,SOLUSDT,sell,2.19e-06,186.66662,0.0,0.0,auto
2025-08-21T00:00:28.739003,XRPUSDT,XRPUSDT,sell,0.00013875,2.952123,0.0,0.0,auto
2025-08-21T00:00:28.740007,LINKUSDT,LINKUSDT,sell,1.55e-05,26.42678,0.0,0.0,auto
2025-08-21T00:00:28.740007,DOGEUSDT,DOGEUSDT,sell,0.00184998,0.221419,0.0,0.0,auto
2025-08-21T00:00:28.740007,ADAUSDT,ADAUSDT,sell,0.00046429,0.882259,0.0,0.0,auto
2025-08-21T00:00:28.741011,API3USDT,API3USDT,buy,0.00028522,1.437618,0.0,0.0,auto
2025-08-21T00:00:28.741011,BNBUSDT,BNBUSDT,sell,4.7e-07,872.22367,0.0,0.0,auto
2025-08-21T00:00:28.741011,BIOUSDT,BIOUSDT,sell,0.00277736,0.147486,0.0,0.0,auto
